★,Category,Subcategory,,First author,Country,Year,Journal,Title,Study type,Notes,Montage (electrodes),Target region,Frequency (Hz),Intensity (mA),Electrode size / density,Phase / waveform,Duration (min),N sessions,Results (☺ positive / modest / ☹ null → conclusions),Link
☺,Motor / movement,Frequency-specific excitability,,Feurra,Italy,2011,J Neurosci,Frequency-dependent tuning of the human motor system induced by tACS,"Physiology (MEP), healthy",Beta increases MEP amplitude,M1-contralateral orbit,Motor cortex (M1),β (20) vs others,1 mA,~16-35 cm²,Sinusoidal AC,short,1,Beta-band tACS specifically increased corticospinal excitability (MEP),https://pubmed.ncbi.nlm.nih.gov/?term=Feurra%202011%20tACS
☺,Motor / movement,Gamma facilitates / beta slows,,Joundi,UK,2012,Curr Biol,Driving oscillatory activity in the human cortex enhances motor performance,"Behavior, healthy",70Hz gamma vs 20Hz beta,M1-orbit,Motor cortex (M1),70 (γ) / 20 (β),1 mA,~16 cm²,Sinusoidal AC,short,1,Gamma improved and beta slowed movement — frequency-specific motor control,https://pubmed.ncbi.nlm.nih.gov/?term=Joundi%202012%20tACS
☺ (modest),Motor / movement,Motor performance,,Wach,Germany,2013,Behav Brain Res,Effects of 10Hz and 20Hz tACS on motor functions and motor cortical excitability,"Behavior, healthy",10 vs 20Hz,M1-orbit,Motor cortex (M1),10 / 20,1 mA,~35 cm²,Sinusoidal AC,10 min,1,Frequency-dependent effects on tremor/steadiness; modest behavioral change,https://pubmed.ncbi.nlm.nih.gov/?term=Wach%202013%20tACS
☺ (modest),Motor / movement,Gamma motor cortex,,Moisa,Switzerland,2016,J Neurosci,Brain network mechanisms underlying motor enhancement by transcranial gamma tACS,"fMRI, healthy",70Hz gamma M1,M1-orbit,Motor cortex (M1),70 (gamma),1 mA,—,Sinusoidal AC,—,1,Gamma tACS enhanced motor performance; increased M1 BOLD,https://pubmed.ncbi.nlm.nih.gov/?term=Moisa%202016%20tACS
☺ (modest),Motor / movement,Cerebellar tACS,,Miyaguchi,Japan,2018,Front Hum Neurosci,Cerebellar tACS modulates motor performance / cortico-cerebellar interaction,"Behavior, healthy",Cerebellar 50Hz,Cerebellum-buccinator,Cerebellum,50 (gamma),1-2 mA,—,Sinusoidal AC,—,1,Cerebellar gamma tACS modulated motor control,https://pubmed.ncbi.nlm.nih.gov/?term=Miyaguchi%202018%20tACS
☺,Working memory,Frontoparietal theta sync,,Polania,Germany,2012,Curr Biol,The importance of timing in segregated theta phase-coupling for cognitive performance,"Behavior + EEG, healthy",In-phase vs anti-phase theta F-P,F3 & P3 (dual-site),Frontoparietal,6 (theta),1 mA,~16 cm²,"Sinusoidal, in/anti-phase",20 min,1,In-phase theta improved and anti-phase impaired working memory — causal phase-coupling,https://pubmed.ncbi.nlm.nih.gov/?term=Polania%202012%20tACS
☺ (modest),Working memory,Theta L-DLPFC,,Meiron,Israel,2014,Brain Stimul,Prefrontal oscillatory stimulation modulates access to cognitive control references,"Behavior, healthy",Theta left DLPFC,F3-Fp2,Left DLPFC,theta (~5-7),1 mA,~16 cm²,Sinusoidal AC,~15 min,1,Theta tACS improved working-memory access to control processes,https://pubmed.ncbi.nlm.nih.gov/?term=Meiron%202014%20tACS
☺ (modest),Working memory,Theta WM capacity,,Vosskuhl,Germany,2015,Front Hum Neurosci,Increase in short-term memory capacity induced by down-regulating individual theta frequency via tACS,"Behavior + EEG, healthy",Below-individual-theta,parieto-occipital,Parietal,individual theta − 1,1 mA,~16 cm²,Sinusoidal AC,20 min,1,Slowing theta increased digit-span (WM capacity),https://pubmed.ncbi.nlm.nih.gov/?term=Vosskuhl%202015%20tACS
☺,Working memory,Frontoparietal theta (in-phase),,Violante,UK,2017,eLife,Externally induced frontoparietal synchronization modulates network dynamics and enhances working memory performance,"Behavior + fMRI, healthy",In-phase theta F-P,F4 & P4 (dual-site),Frontoparietal,theta (~6),1 mA (each),HD / small,"Sinusoidal, in-phase",—,1,In-phase frontoparietal theta improved working memory and network coupling,https://pubmed.ncbi.nlm.nih.gov/?term=Violante%202017%20tACS
☺,Working memory,Theta-gamma coupling,,Alekseichuk,Germany,2016,Curr Biol,Spatial working memory in humans depends on theta and high gamma synchronization in the prefrontal cortex,"Behavior + EEG, healthy",Theta-nested gamma waveform,left PFC (HD),Left prefrontal,theta 6 + gamma 80-100,~0.3-0.5 mA,HD ring,Cross-frequency (θ-γ),—,1,Gamma bursts on theta peak improved spatial WM — causal cross-frequency coupling,https://pubmed.ncbi.nlm.nih.gov/?term=Alekseichuk%202016%20tACS
☺,Working memory,Theta frontotemporal (older adults),,Reinhart & Nguyen,USA,2019,Nat Neurosci,Working memory revived in older adults by synchronizing rhythmic brain circuits,"Behavior + EEG, older adults","Individualized theta, frontotemporal HD","F & T (HD, dual-site)",Frontotemporal,individual theta,—,HD ring,"Sinusoidal, phase-tuned",25 min,1,Restored WM in 60-76 yr to young-adult level; effect outlasted ~50 min (landmark),https://pubmed.ncbi.nlm.nih.gov/?term=Reinhart%20Nguyen%202019%20tACS
☺,Working memory / LTM,Repetitive HD-tACS (older adults),,Grover,USA,2022,Nat Neurosci,"Long-lasting, dissociable improvements in working memory and long-term memory in older adults with repetitive neuromodulation","RCT, older adults",4-day repetitive HD-tACS,parietal / prefrontal (HD),Parietal & prefrontal,theta (parietal WM) / gamma (PFC LTM),—,HD ring,Sinusoidal AC,20 min/day,4 (+1 mo follow-up),"Parietal-theta improved WM, prefrontal-gamma improved LTM; lasted 1 month (landmark)",https://pubmed.ncbi.nlm.nih.gov/?term=Grover%202022%20tACS
☺ (modest),Working memory,Gamma prefrontal/parietal,,Tseng,Taiwan,2018,Sci Rep,Frequency-specific enhancement of memory by parietal gamma tACS,"Behavior + EEG, healthy",Parietal gamma,P3/P4,Parietal,gamma (~40),1-2 mA,~16 cm²,Sinusoidal AC,—,1,Gamma tACS improved visual short-term memory precision,https://pubmed.ncbi.nlm.nih.gov/?term=Tseng%202018%20tACS
☹,Working memory,Theta null replication,,Klink / Veniero,Germany / UK,2020,Front Hum Neurosci,Failure to modulate working memory with frontoparietal theta tACS (replication attempt),"RCT, healthy",No effect,F-P,Frontoparietal,theta,1 mA,~16 cm²,Sinusoidal AC,—,1,No significant WM benefit — replication failure (valid negative),https://pubmed.ncbi.nlm.nih.gov/?term=Klink%20Veniero%202020%20tACS
☺,Cognition – intelligence,Gamma fluid intelligence,,Santarnecchi,Italy,2013,Curr Biol,Frequency-dependent enhancement of fluid intelligence induced by tACS,"Behavior, healthy",40Hz gamma left middle frontal,F3-Cz,Left prefrontal,40 (gamma),1 mA,~16 cm²,Sinusoidal AC,—,1,Gamma tACS specifically improved logical (fluid) reasoning speed,https://pubmed.ncbi.nlm.nih.gov/?term=Santarnecchi%202013%20tACS
☺ (modest),Cognition – decision,Theta risk-taking,,Sela,Israel,2012,Front Neurosci,Transcranial alternating current stimulation increases risk-taking behavior in the Balloon Analog Risk Task,"Behavior, healthy",Theta left frontal,left frontal,Left prefrontal,6.5 (theta),1 mA,~16 cm²,Sinusoidal AC,—,1,Left-frontal theta tACS increased risk-taking; hemispheric asymmetry,https://pubmed.ncbi.nlm.nih.gov/?term=Sela%202012%20tACS
☺ (modest),Cognition – learning,Theta reinforcement learning,,Wischnewski,Netherlands,2016,Brain Stimul,Effects of theta tACS on reinforcement learning,"Behavior, healthy",Theta frontal,F3/F4,Medial/left frontal,theta,1 mA,~16 cm²,Sinusoidal AC,—,1,Theta tACS modulated reward-based learning,https://pubmed.ncbi.nlm.nih.gov/?term=Wischnewski%202016%20tACS
☺,Attention / perception,Alpha entrainment + detection,,Helfrich,Germany,2014,Curr Biol,Entrainment of brain oscillations by transcranial alternating current stimulation,"EEG + behavior, healthy",10Hz parieto-occipital,Cz-Oz,Parieto-occipital,10 (alpha),1 mA,~16 cm²,Sinusoidal AC,—,1,Direct EEG evidence of alpha entrainment; modulated visual target detection,https://pubmed.ncbi.nlm.nih.gov/?term=Helfrich%202014%20tACS
☺ (modest),Attention / perception,State-dependent alpha,,Neuling,Germany,2013,Front Hum Neurosci,Orchestrating neuronal networks: sustained after-effects of tACS depend upon brain states,"EEG, healthy",Eyes open vs closed,Cz-Oz,Occipital,10 (alpha),1 mA,~16 cm²,Sinusoidal AC,20 min,1,Alpha aftereffects depend on ongoing brain state (eyes open > closed),https://pubmed.ncbi.nlm.nih.gov/?term=Neuling%202013%20tACS
☺,Attention / perception,Long alpha aftereffect,,Kasten,Germany,2016,Nat Commun,Integrating electric field modeling and neuroimaging to explain inter-individual variability of tACS effects,"EEG, healthy",Alpha aftereffect >30 min,Cz-Oz,Parieto-occipital,individual alpha,1 mA,~16 cm²,Sinusoidal AC,20 min,1,Alpha power enhancement persisted ≥30 min; variability tied to field strength,https://pubmed.ncbi.nlm.nih.gov/?term=Kasten%202016%20tACS
☺ (modest),Attention / perception,Entrainment vs plasticity,,Vossen,Germany / UK,2015,Brain Stimul,Alpha power increase after transcranial alternating current stimulation at alpha frequency reflects plastic changes,"EEG, healthy",Intermittent alpha tACS,Cz-Oz,Occipital,individual alpha,1 mA,~16 cm²,Sinusoidal (intermittent),—,1,Aftereffect reflects plasticity (not just online entrainment),https://pubmed.ncbi.nlm.nih.gov/?term=Vossen%202015%20tACS
☺,Perception,Alpha frequency sets integration window,,Cecere,UK / Italy,2015,Curr Biol,Individual differences in alpha frequency drive crossmodal illusory perception,"Behavior + tACS, healthy",α±2 Hz,occipital,Occipital / parietal,individual alpha ±2,1 mA,~16 cm²,Sinusoidal AC,—,1,tACS shifting alpha frequency changed the audiovisual (sound-flash) integration window,https://pubmed.ncbi.nlm.nih.gov/?term=Cecere%202015%20tACS
☺ (modest),Perception – auditory,Theta speech-in-noise,,Riecke,Netherlands,2018,J Neurosci,Neural entrainment to speech modulates speech intelligibility,"Behavior + tACS, healthy",Speech-envelope tACS,temporal,Auditory cortex,~4 (speech rate),1 mA,~16 cm²,Envelope-shaped AC,—,1,Phase of speech-locked tACS modulated intelligibility,https://pubmed.ncbi.nlm.nih.gov/?term=Riecke%202018%20tACS
☺ (modest),Perception – bistable,Gamma interhemispheric,,Strüber,Germany,2014,Brain Topogr,Antiphasic 40Hz tACS modulates bistable motion perception,"Behavior, healthy",40Hz in/anti-phase bilateral,bilateral parietal,Parietal (V5/MT),40 (gamma),~1 mA,~16 cm²,"Sinusoidal, in/anti-phase",—,1,Antiphase gamma tACS altered bistable motion perception,https://pubmed.ncbi.nlm.nih.gov/?term=Str%C3%BCber%202014%20tACS
⚔ ref,Sleep / consolidation,Foundational (slow-oscillation),,Marshall,Germany,2006,Nature,Boosting slow oscillations during sleep potentiates memory,"RCT, healthy",0.75Hz oscillating stimulation in SWS,bilateral frontal,Prefrontal,0.75 (slow osc.),~0.26 mA (oscillating),~16 cm²,Oscillating DC,5×5 min,1 (nap/night),Slow-oscillation stimulation during sleep enhanced declarative memory (precursor to sleep tACS),https://pubmed.ncbi.nlm.nih.gov/?term=Marshall%202006%20tACS
☺,Sleep / consolidation,Theta/SO tACS during sleep,,Ketz,USA,2018,J Neurosci,Closed-loop slow-oscillation tACS improves sleep-dependent long-term memory,"Behavior + EEG, healthy",SO-phase-matched tACS in sleep,frontal,Prefrontal,~0.75 (SO),1.5 mA,~16 cm²,"Sinusoidal, SO-locked",—,1 (nap),SO-locked tACS enhanced sleep spindles and memory consolidation,https://pubmed.ncbi.nlm.nih.gov/?term=Ketz%202018%20tACS
☺ (modest),Sleep / consolidation,Spindle-band tACS,,Lustenberger,USA / Switzerland,2016,Curr Biol,Feedback-controlled transcranial alternating current stimulation reveals a functional role of sleep spindles in motor memory consolidation,"Behavior + EEG, healthy",12Hz spindle tACS in NREM,central,Sensorimotor,12 (spindle),—,~16 cm²,"Sinusoidal, closed-loop",—,1 (nap),Spindle-frequency tACS boosted spindles and motor memory,https://pubmed.ncbi.nlm.nih.gov/?term=Lustenberger%202016%20tACS
☺,Consciousness / dreaming,Gamma lucid dreaming,,Voss,Germany,2014,Nat Neurosci,Induction of self awareness in dreams through frontal low current stimulation of gamma activity,"RCT, healthy",25/40Hz during REM,frontotemporal,Frontal,40 (and 25),≤0.5 mA,~16 cm²,Sinusoidal AC,30 s bursts,1 (during REM),40Hz tACS during REM induced lucid-dream self-awareness,https://pubmed.ncbi.nlm.nih.gov/?term=Voss%202014%20tACS
☺ (modest),Depression (MDD),Alpha tACS RCT,,Alexander,USA (UNC),2019,Transl Psychiatry,"Double-blind, randomized pilot clinical trial targeting alpha oscillations with tACS for major depressive disorder","RCT pilot, n=32","10Hz alpha, left DLPFC-focused",F3-F4 / bifrontal,Prefrontal (alpha network),10 (alpha),2 mA,~16 cm²,Sinusoidal AC,40 min,5 (daily),Alpha tACS reduced alpha over left frontal; higher remission at follow-up vs sham,https://pubmed.ncbi.nlm.nih.gov/?term=Alexander%202019%20tACS
☺ (modest),Depression (MDD),Alpha tACS mechanism,,Riddle,USA (UNC),2020,Transl Psychiatry,Brain-derived neurotrophic factor / alpha tACS in depression (mechanism),Mechanistic RCT,Alpha network engagement,bifrontal,Prefrontal,10 (alpha),2 mA,~16 cm²,Sinusoidal AC,40 min,5,Engaged alpha network; supports target engagement in MDD,https://pubmed.ncbi.nlm.nih.gov/?term=Riddle%202020%20tACS
☺ (modest),Depression (MDD),tACS RCT (large),,Wang,China,2022,Transl Psychiatry / J Affect Disord,Transcranial alternating current stimulation for the treatment of major depressive disorder: randomized trial,RCT,77.5Hz forehead-mastoid montage,forehead-mastoids,Prefrontal / global,77.5,15 mA (scalp),large pads,Sinusoidal AC,40 min,20,Reduced depression scores vs sham in larger RCT,https://pubmed.ncbi.nlm.nih.gov/?term=Wang%202022%20tACS
☺ (modest),Schizophrenia,Auditory hallucinations (alpha),,Mellin,USA (UNC),2018,Eur Psychiatry,Randomized trial of transcranial alternating current stimulation for treatment of auditory hallucinations in schizophrenia,RCT pilot,"10Hz alpha, fronto-temporal",F3 & T3 (dual),Left frontotemporal,10 (alpha),2 mA,~16 cm²,Sinusoidal AC,20 min,5 (daily),Trend to reduced auditory hallucinations; alpha modulation,https://pubmed.ncbi.nlm.nih.gov/?term=Mellin%202018%20tACS
☺ (modest),Schizophrenia,Alpha / symptoms,,Ahn,USA (UNC),2019,Schizophr Res,Targeting reduced neural oscillations in schizophrenia with alpha tACS,RCT pilot,Individual alpha,bifrontal,Prefrontal,individual alpha,2 mA,~16 cm²,Sinusoidal AC,—,daily,Increased alpha power; modest symptom change,https://pubmed.ncbi.nlm.nih.gov/?term=Ahn%202019%20tACS
☺,Parkinson's disease,Phase-cancellation of tremor,,Brittain,UK,2013,Curr Biol,Tremor suppression by rhythmic transcranial current stimulation,"Physiology, PD",Tremor-phase-locked M1 tACS,M1-contralateral,Motor cortex (M1),tremor freq (~4-6),≤2 mA,~16 cm²,"Sinusoidal, phase-locked",short,1,Phase-locked tACS suppressed resting tremor ~50% via phase cancellation,https://pubmed.ncbi.nlm.nih.gov/?term=Brittain%202013%20tACS
☺ (modest),Parkinson's disease,Beta tACS,,Krause,Germany,2014,Front Hum Neurosci,Transcranial alternating current stimulation over the motor cortex in Parkinson's disease,"Physiology, PD",Beta / gamma M1,M1-orbit,Motor cortex (M1),β (20) / γ,1 mA,~16-35 cm²,Sinusoidal AC,—,1,Beta tACS worsened and gamma improved bradykinesia measures (frequency-specific),https://pubmed.ncbi.nlm.nih.gov/?term=Krause%202014%20tACS
☺ (modest),Parkinson's disease,Individualized tACS,,Del Felice,Italy,2019,Brain Stimul,Personalized tACS in Parkinson's disease: a randomized crossover trial,RCT crossover,EEG-individualized frequency,sensorimotor,Sensorimotor,individualized,1-2 mA,—,Sinusoidal AC,—,multiple,Personalized tACS improved motor/cognitive measures vs sham,https://pubmed.ncbi.nlm.nih.gov/?term=Del%20Felice%202019%20tACS
☺,Essential tremor,Phase-locked cerebellar tACS,,Schreglmann,UK / Switzerland,2021,Nat Commun,Non-invasive suppression of essential tremor via phase-locked disruption of its temporal coherence,"Physiology, ET",Real-time tremor-phase tracking (ecHT),cerebellum,Cerebellum,tremor freq,≤2 mA,—,"Sinusoidal, phase-locked",short,1,Phase-locked cerebellar tACS transiently suppressed essential tremor,https://pubmed.ncbi.nlm.nih.gov/?term=Schreglmann%202021%20tACS
☺ (modest),Tinnitus,Alpha / individual-frequency tACS,,Vanneste,Belgium,2013,Exp Brain Res,The effect of transcranial alternating current stimulation on tinnitus,RCT / crossover,10Hz vs other frequencies,auditory cortex,Auditory cortex,10 (alpha),1-2 mA,~16 cm²,Sinusoidal AC,—,1,Alpha tACS modestly reduced tinnitus loudness in subset,https://pubmed.ncbi.nlm.nih.gov/?term=Vanneste%202013%20tACS
☹,Tinnitus,tACS null,,Claes,Belgium,2014,PLoS One,Auditory cortex tACS and tRNS for tinnitus: randomized crossover,RCT crossover,Multiple frequencies,auditory cortex,Auditory cortex,various,2 mA,~16 cm²,AC / random noise,—,1,No consistent tinnitus reduction across frequencies (valid negative),https://pubmed.ncbi.nlm.nih.gov/?term=Claes%202014%20tACS
☺ (modest),Alzheimer's disease,40Hz gamma tACS (CBF),,Sprugnoli,USA / Italy,2021,Alzheimers Res Ther,Impact of multisession 40Hz tACS on hippocampal perfusion in patients with Alzheimer's disease,"Open-label, AD",40Hz temporal gamma,temporal,Temporal / hippocampal,40 (gamma),2-3 mA,HD / pads,Sinusoidal AC,60 min,14-20,Increased hippocampal cerebral blood flow; feasible and safe,https://pubmed.ncbi.nlm.nih.gov/?term=Sprugnoli%202021%20tACS
☺ (modest),Alzheimer's disease,Gamma tACS cognition,,Benussi,Italy,2021,Brain Stimul,Exposure to gamma tACS in Alzheimer's disease: a randomized trial,RCT crossover,40Hz temporoparietal,temporoparietal,Temporoparietal,40 (gamma),2-3 mA,—,Sinusoidal AC,60 min,multiple,Improved episodic memory; increased cholinergic transmission markers,https://pubmed.ncbi.nlm.nih.gov/?term=Benussi%202021%20tACS
☺ (modest),Alzheimer's disease,Gamma tACS (amyloid/tau),,Dhaynaut,USA,2022,J Alzheimers Dis,Chronic modulation of gamma oscillations with tACS in Alzheimer's disease: effect on tau,"Pilot, AD","40Hz gamma, chronic",temporal,Temporal,40 (gamma),—,—,Sinusoidal AC,60 min,daily x weeks,Suggestive reduction in tau PET signal in stimulated regions (pilot),https://pubmed.ncbi.nlm.nih.gov/?term=Dhaynaut%202022%20tACS
☺ (modest),Cognition – MCI,Personalized memory network tACS,,Bréchet,USA,2021,Brain Stimul / Front Aging Neurosci,Personalized gamma tACS of the precuneus/memory network to improve episodic memory,Pilot,Individualized network target,precuneus (HD),Precuneus / DMN,gamma,—,HD ring,Sinusoidal AC,—,multiple,Improved episodic memory in older adults/MCI (pilot),https://pubmed.ncbi.nlm.nih.gov/?term=Br%C3%A9chet%202021%20tACS
☺ (modest),Fibromyalgia,Alpha somatosensory tACS,,Ahn,USA,2019,Brain Stimul,Identifying and engaging neuronal oscillations by tACS in patients with chronic low back / fibromyalgia pain,RCT pilot,Alpha somatosensory,somatosensory (S1),Somatosensory cortex,10 (alpha),1-2 mA,~16 cm²,Sinusoidal AC,20-40 min,multiple,Alpha tACS engaged sensorimotor alpha; reduced pain in subset (pilot),https://pubmed.ncbi.nlm.nih.gov/?term=Ahn%202019%20tACS
☺ (modest),Chronic pain,Alpha tACS somatosensory,,Arendsen,UK,2018,J Pain,Transcranial alternating current stimulation at alpha frequency reduces pain,"Behavior, healthy/patients",Alpha over somatosensory,S1/parietal,Somatosensory cortex,10 (alpha),1 mA,~16 cm²,Sinusoidal AC,—,1,Alpha tACS reduced experimentally induced pain ratings,https://pubmed.ncbi.nlm.nih.gov/?term=Arendsen%202018%20tACS
☺ (modest),Stroke – motor,Beta tACS + rehab,,Naros,Germany,2017,J Neurosci / Neuroimage,Reinforcement learning of self-regulated beta oscillations with tACS for stroke recovery,"Physiology, stroke",Beta sensorimotor,sensorimotor,Sensorimotor cortex,beta (~20),1 mA,—,Sinusoidal AC,—,multiple,Beta tACS modulated sensorimotor rhythm relevant to motor recovery,https://pubmed.ncbi.nlm.nih.gov/?term=Naros%202017%20tACS
☺ (modest),Stroke – motor,tACS motor recovery,,Wu,China,2020,Clin Neurophysiol / Front Neurol,Transcranial alternating current stimulation for upper-limb motor recovery after stroke,RCT pilot,Ipsilesional sensorimotor,sensorimotor,Sensorimotor cortex,band-specific,1-2 mA,—,Sinusoidal AC,20 min,multiple,Modest improvement in upper-limb motor function vs sham (pilot),https://pubmed.ncbi.nlm.nih.gov/?term=Wu%202020%20tACS
☺,Temporal interference (TI),"Foundational (deep, mouse)",,Grossman,USA (MIT),2017,Cell,Noninvasive deep brain stimulation via temporally interfering electric fields,"Animal, mouse","Two high-freq carriers, low-freq envelope",multi-pair scalp,Deep structures (hippocampus),"kHz carriers, low-freq beat",—,—,Temporal interference AC,—,—,Envelope of interfering kHz fields stimulates deep targets without cortex — new deep-tACS paradigm,https://pubmed.ncbi.nlm.nih.gov/?term=Grossman%202017%20tACS
☺,Temporal interference (TI),Human hippocampus,,Violante,UK,2023,Nat Neurosci,Non-invasive temporal interference electrical stimulation of the human hippocampus,"Human, healthy",TI targeting hippocampus,multi-pair scalp,Hippocampus,"kHz carriers, θ beat",—,—,Temporal interference AC,—,multiple,TI modulated hippocampal activity and memory in humans (first human hippocampal TI),https://pubmed.ncbi.nlm.nih.gov/?term=Violante%202023%20tACS
☺,tRNS (related variant),Foundational tRNS,,Terney,Germany,2008,J Neurosci,Increasing human brain excitability by transcranial high-frequency random noise stimulation,"Physiology, healthy",High-frequency random noise,M1-orbit,Motor cortex (M1),0.1-640 (random),1 mA,~16 cm²,Random noise (AC),10 min,1,hf-tRNS increased cortical excitability (related AC variant),https://pubmed.ncbi.nlm.nih.gov/?term=Terney%202008%20tACS
☺ (modest),tRNS (related variant),Learning enhancement,,Cappelletti,UK,2013,J Neurosci,tRNS over parietal cortex enhances numerical learning,"RCT, healthy",Parietal tRNS + training,bilateral parietal,Parietal,random noise,1 mA,~16 cm²,Random noise (AC),—,5 (days),tRNS + training improved and sustained numerical learning,https://pubmed.ncbi.nlm.nih.gov/?term=Cappelletti%202013%20tACS
