idx,author,year,journal,polarity,anode,cathode,mA,area,density,tmin,nsess,status,source_url,notes
106,Khedr,2014,Front Aging Neurosci,Anodal / cathodal,Left DLPFC (F3),Contralateral supraorbital,2,35,0.057,25,10,UNCHECKED,,
107,Bystad,2016,Alzheimers Res Ther,Anodal,Left temporal cortex (T3),Right frontal,2,35,0.057,30,6,UNCHECKED,,
108,Cotelli,2014,Front Aging Neurosci,Anodal,Left DLPFC (F3),Right deltoid,2,35,0.057,25,10,UNCHECKED,,
109,Ferrucci,2014,NeuroRehabilitation,Anodal,Bilateral S1,Occipital / neck,1.5,35,0.043,15,5,UNCHECKED,,
110,Tecchio,2014,J Neurol,Anodal,Whole somatosensory (personalized),—,1.5,35,0.043,15,5,UNCHECKED,,
111,Charvet,2018,Mult Scler,Anodal,F3 (left DLPFC),Right supraorbital,2.0,25,0.080,20,20,UNCHECKED,,
112,Mori,2010,J Pain,Anodal,M1 (C3/C4),Contralateral supraorbital,2,35,0.057,20,5,UNCHECKED,,
113,Kumar,2011,Stroke,Anodal,Pharyngeal motor cortex (unaffected),Contralateral supraorbital,2,—,—,30,5,UNCHECKED,,
114,Shigematsu,2013,Neurorehabil Neural Repair,Anodal,Pharyngeal motor cortex (affected),Contralateral supraorbital,1,—,—,20,10,UNCHECKED,,
115,Yang,2012,J Oral Rehabil? / clinical,Anodal,Pharyngeal motor cortex (affected),Contralateral supraorbital,1,—,—,20,10,UNCHECKED,,
116,Thibaut,2014,Neurology,Anodal,Left DLPFC (F3),Right supraorbital,2,35,0.057,20,1,UNCHECKED,,
117,Thibaut,2017,Brain Inj / Restor Neurol Neurosci,Anodal,Left DLPFC (F3),Right supraorbital,2,35,0.057,20,5,UNCHECKED,,
118,Angelakis,2014,Arch Phys Med Rehabil,Anodal,Left DLPFC (F3),Right supraorbital,1,35,0.029,20,multiple,UNCHECKED,,
119,Gowda,2019,Brain Stimul,Cathodal,Pre-SMA,Right supraorbital,2,35,0.057,20,20,UNCHECKED,,
120,Silva,2021,Eur Arch Psychiatry Clin Neurosci,Cathodal,SMA,Deltoid / supraorbital,2,35,0.057,30,20,UNCHECKED,,
121,Bation,2019,Brain Stimul,Cathodal,OFC,Cerebellum,2,35,0.057,20,10,UNCHECKED,,
122,van 't Wout-Frank,2019,Brain Stimul,Anodal,Right / ventromedial PFC,Contralateral,2,35,0.057,25,6,UNCHECKED,,
123,Marshall,2006,Nature,Anodal (oscillating),Bilateral frontal (F3/F4),Mastoids,0.517,—,—,~30,1,UNCHECKED,,
124,Frase,2016,Neuropsychopharmacology,Anodal & cathodal,Bilateral frontal,Extracephalic,1,35,0.029,~15,1,UNCHECKED,,
125,Saebipour,2015,J Sleep Res,Anodal (oscillating),Frontolateral,Mastoids,0.517,—,—,~25,1,UNCHECKED,,
126,Ulam,2015,Clin Neurophysiol,Anodal,F3 (left DLPFC),Right supraorbital,1,35,0.029,20,10,UNCHECKED,,
127,Collange Grecco,2014,Clin Rehabil,Anodal,M1 (leg area),Contralateral supraorbital,1,25,0.040,20,10,UNCHECKED,,
128,Mrakic-Sposta,2008,Neurol Sci,Cathodal,M1 / pre-SMA,Contralateral supraorbital,2,35,0.057,15,5,UNCHECKED,,
129,Priori,1998,Neuroreport,Anodal & cathodal,M1,Contralateral / mastoid,0.5,—,—,7 s,1,UNCHECKED,,
130,Ardolino,2005,J Physiol,Cathodal,M1 (C3),Contralateral supraorbital,1,35,0.029,10,1,UNCHECKED,,
131,Nitsche,2003,J Physiol,Anodal & cathodal,M1 (C3/C4),Contralateral supraorbital,1,35,0.029,≤13,1,UNCHECKED,,
132,Nitsche,2004,J Physiol,Anodal & cathodal,M1 (C3/C4),Contralateral supraorbital,1,35,0.029,5,1,UNCHECKED,,
133,Kuo,2013,Brain Stimul,Anodal & cathodal,M1 (C3) 4×1 ring,4× surround,2,HD 4×1,—,10,1,UNCHECKED,,
134,Galea,2009,J Neurophysiol,Anodal,M1 (C3/C4),Contralateral supraorbital,1,25,0.040,15,1,UNCHECKED,,
135,Waters-Metenier,2014,J Neurosci,Anodal (bilateral),Bilateral M1,—,1,25,0.040,20,4,UNCHECKED,,
136,Javadi,2012,Brain Stimul,Anodal,Left DLPFC (F3),Right supraorbital,1.5,35,0.043,~3/word,1,UNCHECKED,,
137,Sarkar,2014,J Neurosci,Anodal,Bilateral DLPFC,—,1.5,35,0.043,20,1,UNCHECKED,,
138,Clark,2012,Neuroimage,Anodal,Right inferior frontal / temporal,Contralateral arm,2,35,0.057,30,1,UNCHECKED,,
139,Dockery,2009,J Neurosci,Anodal & cathodal,Left DLPFC (F3),Right supraorbital,1,35,0.029,15,1,UNCHECKED,,
140,Flöel,2012,Neurobiol Aging,Anodal,Right temporoparietal,Contralateral supraorbital,1,35,0.029,20,3,UNCHECKED,,
141,Meinzer,2015,Neurology,Anodal,Left IFG,Right supraorbital,1,35,0.029,20,1,UNCHECKED,,
142,Turkeltaub,2012,Neuropsychologia,Anodal,Left temporoparietal,Right supraorbital,1.5,35,0.043,20,1,UNCHECKED,,
143,Rigonatti,2008,Eur Psychiatry,Anodal,F3 (left DLPFC),Right supraorbital,2,35,0.057,20,10,UNCHECKED,,
144,Ferrucci,2009,J Affect Disord,Anodal,F3 (left DLPFC),Right supraorbital (F4),2,35,0.057,20,10,UNCHECKED,,
145,Dell'Osso,2012,Bipolar Disord,Anodal,F3 (left DLPFC),F4 (right DLPFC),2,35,0.057,20,10,UNCHECKED,,
146,Brunoni,2011,J Affect Disord,Anodal,F3 (left DLPFC),F4 (right DLPFC),2,35,0.057,20,10,UNCHECKED,,
147,Di Lazzaro,2014,Brain Stimul,Anodal+Cathodal (dual),Ipsilesional M1,Contralesional M1,2,35,0.057,40,5,UNCHECKED,,
148,Rossi,2013,Eur J Neurol,Anodal,Ipsilesional M1,Contralateral supraorbital,2,35,0.057,20,5,UNCHECKED,,
149,Sattler,2015,Neurorehabil Neural Repair,Anodal,Ipsilesional M1,Contralateral supraorbital,1,35,0.029,20,5,UNCHECKED,,
150,Kang,2011,Restor Neurol Neurosci,Cathodal,Contralesional M1,Ipsilesional supraorbital,2,25,0.080,20,1,UNCHECKED,,
151,Marangolo,2013,Restor Neurol Neurosci,Anodal / cathodal,Left frontal / right,Contralateral,2,—,—,20,10,UNCHECKED,,
152,Shah-Basak,2015,J Neurosci? / Restor Neurol Neurosci,Anodal / cathodal,Left / right frontal,Contralateral,2,—,—,20,10,UNCHECKED,,
153,Volpato,2013,Restor Neurol Neurosci,Anodal,Left frontal,Right supraorbital,2,35,0.057,20,10,UNCHECKED,,
154,Mendonca,2016,Front Hum Neurosci,Anodal,M1 (C3),Contralateral supraorbital,2,35,0.057,20,5,UNCHECKED,,
155,Riberto,2011,Open Rheumatol J,Anodal,M1 (C3),Contralateral supraorbital,2,35,0.057,20,10,UNCHECKED,,
156,Luedtke,2015,Pain,Anodal,M1,Contralateral supraorbital,2,35,0.057,20,5,UNCHECKED,,
157,Ahn,2017,Clin J Pain,Anodal,M1 (C3/C4) 4×1,4× surround,2,HD 4×1,—,20,5,UNCHECKED,,
158,Boggio,2008,Eur J Neurosci? / Pain,Anodal,M1 / DLPFC,Contralateral supraorbital,2,35,0.057,5,1,UNCHECKED,,
159,Auvichayapat,2012,J Med Assoc Thai,Anodal,M1 (C3/C4),Contralateral supraorbital,1,35,0.029,20,20,UNCHECKED,,
160,Andrade,2017,J Neural Transm,Anodal,M1,Contralateral supraorbital,2,35,0.057,20,12,UNCHECKED,,
161,Ferrucci,2016,Cerebellum,Anodal,Cerebellum / M1,Deltoid / supraorbital,2,35,0.057,20,5,UNCHECKED,,
162,Pereira,2013,Brain Stimul,Anodal,Left DLPFC (F3),Right supraorbital,2,35,0.057,20,1,UNCHECKED,,
163,Manenti,2016,Mov Disord,Anodal,Left DLPFC (F3),Right deltoid,2,35,0.057,20,10,UNCHECKED,,
164,Gomes,2018,J ECT / Schizophr Res,Anodal,F3 (left DLPFC),Right supraorbital,2,35,0.057,20,10,UNCHECKED,,
165,Rassovsky,2015,Schizophr Res,Anodal,F3 (left DLPFC),Right supraorbital,2,35,0.057,20,1,UNCHECKED,,
166,Nakamura-Palacios,2012,J Neurosci Methods? / Front,Anodal L / cathodal R,Left DLPFC (F3),Right DLPFC (F4),1,35,0.029,20,1,UNCHECKED,,
167,da Silva,2013,J Physiol Paris,Anodal R / cathodal L,Right DLPFC,Left DLPFC,2,35,0.057,20,5,UNCHECKED,,
168,Shahbabaie,2014,Int J Neuropsychopharmacol,Anodal,Right DLPFC (F4),Left supraorbital,2,35,0.057,20,1,UNCHECKED,,
169,den Uyl,2015,Alcohol Clin Exp Res,Anodal,Left / right DLPFC,Contralateral,2,35,0.057,..,..,UNCHECKED,,
170,Ljubisavljevic,2016,Front Hum Neurosci,Anodal,Right DLPFC (F4),Left supraorbital,2,35,0.057,20,5,UNCHECKED,,
171,Lapenta,2014,Appetite,Anodal R / cathodal L,Right DLPFC,Left DLPFC,2,35,0.057,20,1,UNCHECKED,,
172,Montenegro,2012,Appetite,Anodal,Left DLPFC (F3),Right supraorbital,2,35,0.057,20,1,UNCHECKED,,
173,Tekturk,2016,Clin Neurol Neurosurg? / Epilepsy Res,Cathodal,Temporal focus,Contralateral,2,35,0.057,30,3,UNCHECKED,,
174,Assenza,2017,Brain Stimul,Cathodal,Epileptogenic focus,Contralateral,2,35,0.057,20,5,UNCHECKED,,
175,Auvichayapat,2016,Brain Stimul,Cathodal,Vertex / focus,Contralateral shoulder,2,35,0.057,20,5,UNCHECKED,,
176,Breitling,2016,Front Cell Neurosci,Anodal,Right IFG,Contralateral / surround,1,35,0.029,20,1,UNCHECKED,,
177,Soff,2017,J Neural Transm,Anodal,F3 (left DLPFC),Right supraorbital,1,35,0.029,20,5,UNCHECKED,,
178,Nejati,2020,Sci Rep? / J Atten Disord,Anodal & cathodal,Left DLPFC / OFC,Contralateral,1,35,0.029,15,1,UNCHECKED,,
179,Shekhawat,2013,Neurorehabil Neural Repair,Anodal R / cathodal L,Right DLPFC,Left DLPFC,2,35,0.057,20,1,UNCHECKED,,
180,Suemoto,2014,Brain Stimul,Anodal,Left DLPFC (F3),Right supraorbital,2,35,0.057,20,6,UNCHECKED,,
181,Gangemi,2021,Neurol Sci,Anodal,Bilateral temporal,Deltoid,2,35,0.057,20,10,UNCHECKED,,
182,Chalah,2017,J Neurol Sci,Anodal,Left DLPFC (F3),Right supraorbital,2,35,0.057,20,5,UNCHECKED,,
183,D'Urso,2016,World J Biol Psychiatry,Cathodal,Pre-SMA,Right deltoid,2,35,0.057,20,10,UNCHECKED,,
184,Alizadeh Goradel,2016,Iran J Psychiatry? / clinical,Anodal,Left DLPFC (F3),Right supraorbital,2,35,0.057,20,10,UNCHECKED,,
185,Shiozawa,2014,Rev Bras Psiquiatr / J ECT,Cathodal,Right DLPFC,Left supraorbital,2,35,0.057,30,..,UNCHECKED,,
186,Chesters,2018,Brain,Anodal,Left inferior frontal cortex,Right supraorbital,1,35,0.029,20,5,UNCHECKED,,
187,Costanzo,2016,Restor Neurol Neurosci,Anodal L / cathodal R,Left parietotemporal,Right parietotemporal,1,—,—,20,18,UNCHECKED,,
188,Martens,2018,Brain Stimul,Anodal,Left DLPFC (F3),Right supraorbital,2,35,0.057,20,5,UNCHECKED,,
189,Bindman,1964,J Physiol,Anodal & cathodal,Cortical surface,—,—,—,—,—,1,UNCHECKED,,
190,Purpura & McMurtry,1965,J Neurophysiol,Anodal & cathodal,Cortical surface,—,—,—,—,—,1,UNCHECKED,,
191,Martin,2011,Int J Neuropsychopharmacol,Anodal,F3 (left DLPFC),F8 (right),2,35,0.057,20,—,UNCHECKED,,
192,Aparicio,2019,Depress Anxiety,Anodal,F3 (left DLPFC),F4 (right DLPFC),2,25,0.080,30,10,UNCHECKED,,
193,Nikolin,2018,Psychol Med,Anodal,F3 (left DLPFC),F8 (right),2,35,0.057,20,—,UNCHECKED,,
194,Valiengo,2017,J Neurol Neurosurg Psychiatry,Anodal,F3 (left DLPFC),F4 (right DLPFC),2,25,0.080,30,12,UNCHECKED,,
195,Vigod,2019,J Affect Disord,Anodal,F3 (left DLPFC),F4 (right DLPFC),2,25,0.080,30,15,UNCHECKED,,
196,Palm,2009,Brain Stimul,Anodal,F3 (left DLPFC),Right supraorbital,1,35,0.029,20,10,UNCHECKED,,
197,Lefebvre,2013,Brain,Anodal+Cathodal (dual),Ipsilesional M1,Contralesional M1,1,—,—,30,1,UNCHECKED,,
198,Straudi,2016,Neural Plast,Anodal+Cathodal (dual),Ipsilesional M1,Contralesional M1,2,35,0.057,30,10,UNCHECKED,,
199,Wu,2013,Arch Phys Med Rehabil,Cathodal,Contralesional M1,Ipsilesional supraorbital,1.2,—,—,20,20,UNCHECKED,,
200,Yozbatiran,2016,Restor Neurol Neurosci,Anodal,M1 (arm area),Contralateral supraorbital,2,—,—,20,—,UNCHECKED,,
201,Campana,2015,Front Hum Neurosci,Anodal / cathodal,Left frontal / right,Contralateral,2,—,—,20,15,UNCHECKED,,
202,Polanowska,2013,Restor Neurol Neurosci,Anodal,Left frontal,Right supraorbital,1,—,—,10,15,UNCHECKED,,
