★,Category,Subcategory,,First author,Country,Year,Journal,Title,Study type,Notes,Type / polarity,Anode site,Cathode / ref site,Current (mA),Electrode size (cm²),Current density (mA/cm²),t / min,N sessions,Results:  positive ☺ / modest ☺ / null ☹  ↑ ↓ →  (conclusions),Link,Additional info,Comment,Reply,Additional info (2)
,Motor learning (healthy),Polarity/timing,,Stagg,UK,2011,Neuropsychologia,Polarity- and timing-dependent tDCS effects on motor learning,Healthy,Stimulation timing matters,Anodal & cathodal,M1 (C3),Contralateral supraorbital,1,35,0.029,10,1,☺ Anodal-during-task ↑ learning; timing critical,https://pubmed.ncbi.nlm.nih.gov/?term=Stagg%202011%20tDCS,"UNVERIFIED — Neuropsychologia full text not openly accessible to automated fetch (paywalled/blocked); protocol values are as-reported/standard, NOT PDF-confirmed",,,
★,Cognition (healthy),Working memory,,Fregni,USA / Brazil,2005,Exp Brain Res,Anodal DLPFC tDCS enhances working memory (3-back),"Healthy, crossover (n=15)",Online 3-back,Anodal,F3 (left DLPFC),Contralateral supraorbital,1,35,0.029,10,1,☺ ↑ WM accuracy vs cathodal/M1 controls,https://pubmed.ncbi.nlm.nih.gov/?term=Fregni%202005%20tDCS,UNVERIFIED — source not openly fetchable (retry),,,
,Cognition (healthy),Working memory,,Ohn,South Korea,2008,Neuroreport,Time-dependent working-memory enhancement by anodal DLPFC tDCS,"Healthy, crossover",Effect grows with time,Anodal,F3 (left DLPFC),Right supraorbital,1,35,0.029,30,1,☺ ↑ WM; time-dependent,https://pubmed.ncbi.nlm.nih.gov/?term=Ohn%202008%20tDCS,"UNVERIFIED — Neuroreport full text not openly accessible to automated fetch (paywalled/blocked); protocol values are as-reported/standard, NOT PDF-confirmed",,,
,Cognition (healthy),Working memory,,Andrews,Australia,2011,Brain Stimul,Anodal DLPFC tDCS + n-back improves digit-span WM,Healthy,tDCS during WM task,Anodal,F3 (left DLPFC),Right supraorbital,1,35,0.029,10,1,☺ ↑ WM when paired with task,https://pubmed.ncbi.nlm.nih.gov/?term=Andrews%202011%20tDCS,"UNVERIFIED — Brain Stimul full text not openly accessible to automated fetch (paywalled/blocked); protocol values are as-reported/standard, NOT PDF-confirmed",,,
,Cognition (healthy),Working memory,,Zaehle,Germany,2011,BMC Neurosci,Polarity-specific tDCS effects on WM and oscillations,Healthy,EEG oscillatory changes,Anodal & cathodal,F3 (left DLPFC),Right supraorbital,1,35,0.029,15,1,☺ Anodal ↑ / cathodal ↓ WM performance,https://pubmed.ncbi.nlm.nih.gov/?term=Zaehle%202011%20tDCS,"UNVERIFIED — BMC Neurosci full text not openly accessible to automated fetch (paywalled/blocked); protocol values are as-reported/standard, NOT PDF-confirmed",,,
,Cognition (healthy),Working memory,,Mulquiney,Australia,2011,Clin Neurophysiol,Anodal DLPFC tDCS and WM (Sternberg / n-back),Healthy,Modest effects,Anodal,F3 (left DLPFC),Right supraorbital,1,35,0.029,10,1,☺ (modest) ↑ speed on WM,https://pubmed.ncbi.nlm.nih.gov/?term=Mulquiney%202011%20tDCS,"UNVERIFIED — Clin Neurophysiol full text not openly accessible to automated fetch (paywalled/blocked); protocol values are as-reported/standard, NOT PDF-confirmed",,,
,Cognition (healthy),WM + fMRI,,Keeser,Germany,2011,J Neurosci,Prefrontal tDCS alters WM networks (fMRI),Healthy,Network-level changes,Anodal,F3 (left DLPFC),Right supraorbital,2,35,0.057,20,1,☺ ↑ WM; modulated DLPFC network,https://pubmed.ncbi.nlm.nih.gov/?term=Keeser%202011%20tDCS,"UNVERIFIED — J Neurosci full text not openly accessible to automated fetch (paywalled/blocked); protocol values are as-reported/standard, NOT PDF-confirmed",,,
,Cognition (healthy),Decision-making,,Fecteau,Canada / USA,2007,J Neurosci,Bilateral DLPFC tDCS reduces risk-taking,Healthy,Risk-taking (BART),Anodal R / cathodal L,Right DLPFC,Left DLPFC,2,35,0.057,15,1,☺ ↓ risky decision-making,https://pubmed.ncbi.nlm.nih.gov/?term=Fecteau%202007%20tDCS,"UNVERIFIED — J Neurosci full text not openly accessible to automated fetch (paywalled/blocked); protocol values are as-reported/standard, NOT PDF-confirmed",,,
,Cognition (healthy),Numerical cognition,,Cohen Kadosh,UK,2010,Curr Biol,Parietal tDCS modulates numerical learning,Healthy,"Right parietal, artificial numerals",Anodal & cathodal,Right parietal (P4),Left parietal,1,35,0.029,20,6,☺ ↑ automaticity of numerical learning,https://pubmed.ncbi.nlm.nih.gov/?term=Cohen%20Kadosh%202010%20tDCS,"UNVERIFIED — Curr Biol full text not openly accessible to automated fetch (paywalled/blocked); protocol values are as-reported/standard, NOT PDF-confirmed",,,
,Cognition (healthy),Language,,Floel,Germany,2008,J Cogn Neurosci,Anodal tDCS over Wernicke area speeds novel word learning,Healthy,Associative word learning,Anodal,Left temporoparietal (Wernicke),Right supraorbital,1,35,0.029,20,1,☺ ↑ novel word acquisition,https://pubmed.ncbi.nlm.nih.gov/?term=Floel%202008%20tDCS,"UNVERIFIED — J Cogn Neurosci full text not openly accessible to automated fetch (paywalled/blocked); protocol values are as-reported/standard, NOT PDF-confirmed",,,
,Cognition (healthy),Word retrieval,,Meinzer,Germany / Australia,2013,J Neurosci,Anodal IFG tDCS improves word retrieval in young & older adults,Healthy,fMRI; reverses age effect,Anodal,Left IFG,Right supraorbital,1,35,0.029,20,1,☺ ↑ word retrieval; normalizes ageing pattern,https://pubmed.ncbi.nlm.nih.gov/?term=Meinzer%202013%20tDCS,"UNVERIFIED — J Neurosci full text not openly accessible to automated fetch (paywalled/blocked); protocol values are as-reported/standard, NOT PDF-confirmed",,,
★,Depression,MDD RCT,,Boggio,Brazil,2008,Int J Neuropsychopharmacol,Anodal DLPFC tDCS for major depression (vs occipital vs sham),RCT (n=40),L-DLPFC vs occipital vs sham,Anodal,F3 (left DLPFC),Right supraorbital,2,35,0.057,20,10,☺ ↑ mood vs sham & occipital,https://pubmed.ncbi.nlm.nih.gov/?term=Boggio%202008%20tDCS,"VERIFIED (PMC3372849): 35 cm², 2 mA, 20 min, 10 sessions, F3 / right supraorbital",,,
,Depression,MDD pilot,,Fregni,Brazil,2006,Bipolar Disord,tDCS of prefrontal cortex for major depression (pilot),RCT pilot (n=10),Early sham-controlled,Anodal,F3 (left DLPFC),Right supraorbital,1,35,0.029,20,5,☺ (modest) ↑ mood vs sham,https://pubmed.ncbi.nlm.nih.gov/?term=Fregni%202006%20tDCS,"UNVERIFIED — Bipolar Disord full text not openly accessible to automated fetch (paywalled/blocked); protocol values are as-reported/standard, NOT PDF-confirmed",,,
,Depression,MDD crossover,,Loo,Australia,2010,Int J Neuropsychopharmacol,tDCS for depression: double-blind crossover trial,RCT crossover (n=40),10 sessions; limited acute effect,Anodal,F3 (left DLPFC),Lateral (F8 region),1,35,0.029,20,5,☹ No sig. difference vs sham in acute phase,https://pubmed.ncbi.nlm.nih.gov/?term=Loo%202010%20tDCS,"UNVERIFIED — Int J Neuropsychopharmacol full text not openly accessible to automated fetch (paywalled/blocked); protocol values are as-reported/standard, NOT PDF-confirmed",,,
,Depression,MDD RCT,,Loo,Australia,2012,Br J Psychiatry,3-week sham-controlled tDCS trial for depression,RCT (n=64),Effect grew with sessions,Anodal,F3 (left DLPFC),Lateral (F8 region),2,35,0.057,20,15,☺ (modest) ↑ mood in active phase,https://pubmed.ncbi.nlm.nih.gov/?term=Loo%202012%20tDCS,"UNVERIFIED — Br J Psychiatry full text not openly accessible to automated fetch (paywalled/blocked); protocol values are as-reported/standard, NOT PDF-confirmed",,,
,Depression,TRD RCT,,Palm,Germany,2012,Brain Stimul,tDCS in treatment-resistant depression (crossover),RCT crossover (n=22),Treatment-resistant,Anodal,F3 (left DLPFC),Right supraorbital,1,35,0.029,20,10,☹ No significant antidepressant effect,https://pubmed.ncbi.nlm.nih.gov/?term=Palm%202012%20tDCS,"UNVERIFIED — Brain Stimul full text not openly accessible to automated fetch (paywalled/blocked); protocol values are as-reported/standard, NOT PDF-confirmed",,,
,Depression,TRD RCT,,Blumberger,Canada,2012,Front Psychiatry,Sham-controlled tDCS for treatment-resistant MDD,RCT (n=24),"Bifrontal, treatment-resistant",Anodal,F3 (left DLPFC),F4 (right DLPFC),2,35,0.057,20,15,☹ No significant difference vs sham,https://pubmed.ncbi.nlm.nih.gov/?term=Blumberger%202012%20tDCS,"UNVERIFIED — Front Psychiatry full text not openly accessible to automated fetch (paywalled/blocked); protocol values are as-reported/standard, NOT PDF-confirmed",,,
,Depression,TRD RCT,,Bennabi,France,2015,World J Biol Psychiatry,Pilot tDCS in treatment-resistant depression,RCT (n=24),"2×/day, treatment-resistant",Anodal,F3 (left DLPFC),Right supraorbital,2,35,0.057,30,10,☹ No significant antidepressant effect,https://pubmed.ncbi.nlm.nih.gov/?term=Bennabi%202015%20tDCS,"UNVERIFIED — World J Biol Psychiatry full text not openly accessible to automated fetch (paywalled/blocked); protocol values are as-reported/standard, NOT PDF-confirmed",,,
★,Depression,Factorial RCT,,Brunoni,Brazil,2013,JAMA Psychiatry,Sertraline vs tDCS for depression (SELECT-TDCS),RCT 2×2 (n=120),tDCS + sertraline best,Anodal,F3 (left DLPFC),F4 (right DLPFC),2,25,0.080,30,10,☺ tDCS & sertraline > placebo; combo best,https://pubmed.ncbi.nlm.nih.gov/?term=Brunoni%202013%20tDCS,PARTIAL — Electrode area verified vs primary source; full protocol not full-text-verified (primary source paywalled),,,
★,Depression,Non-inferiority RCT,,Brunoni,Brazil,2017,N Engl J Med,tDCS vs escitalopram for depression (ELECT-TDCS),RCT (n=245),Not non-inferior to drug; adverse events,Anodal,F3 (left DLPFC),F4 (right DLPFC),2,25,0.080,30,22,☹/☺ tDCS > placebo but < escitalopram,https://pubmed.ncbi.nlm.nih.gov/?term=Brunoni%202017%20tDCS,PARTIAL — Electrode area verified vs primary source; full protocol not full-text-verified (primary source paywalled),,,
,Depression,International RCT,,Loo,Australia / intl,2018,Br J Psychiatry,International sham-controlled tDCS trial for depression,RCT (n=120),Larger multinational,Anodal,F3 (left DLPFC),F8 (right),2.5,35,0.071,30,20,☹ No significant benefit over sham,https://pubmed.ncbi.nlm.nih.gov/?term=Loo%202018%20tDCS,"UNVERIFIED — Br J Psychiatry full text not openly accessible to automated fetch (paywalled/blocked); protocol values are as-reported/standard, NOT PDF-confirmed",,,
,Depression,Bipolar depression,,Sampaio-Junior,Brazil,2018,JAMA Psychiatry,tDCS for bipolar depression (sham-controlled),RCT (n=59),Bipolar depression,Anodal,F3 (left DLPFC),F4 (right DLPFC),2,25,0.080,30,22,☺ ↑ response vs sham; no manic switch excess,https://pubmed.ncbi.nlm.nih.gov/?term=Sampaio-Junior%202018%20tDCS,"UNVERIFIED — JAMA Psychiatry full text not openly accessible to automated fetch (paywalled/blocked); protocol values are as-reported/standard, NOT PDF-confirmed",,,
,Depression,tDCS + training,,Segrave,Australia,2014,Brain Stimul,tDCS + cognitive control training for depression,RCT (n=27),Combined intervention,Anodal,F3 (left DLPFC),F8 (right),2,35,0.057,24,5,☺ Combined ↑ durability of antidepressant effect,https://pubmed.ncbi.nlm.nih.gov/?term=Segrave%202014%20tDCS,"UNVERIFIED — Brain Stimul full text not openly accessible to automated fetch (paywalled/blocked); protocol values are as-reported/standard, NOT PDF-confirmed",,,
,Depression,Home-based RCT,,Woodham / Fu,UK,2024,Nat Med,Fully-remote home-based tDCS for MDD (phase 2),RCT remote (n=174),10-week home protocol (Flow),Anodal,F3 (left DLPFC),F4 (right DLPFC),2,23,0.087,30,36 (15+21),☺ Active home tDCS > sham on severity & remission,https://pubmed.ncbi.nlm.nih.gov/?term=Woodham%20/%20Fu%202024%20tDCS,"VERIFIED (PMC11750699, Nat Med 2024): 23 cm², 2 mA, 30 min, 36 sessions (5/wk×3wk + 3/wk×7wk), F3 anode / F4 cathode [corrected area 35→23, sessions]",,,
★,Stroke rehab,Motor (chronic),,Hummel,USA,2005,Brain,Anodal ipsilesional M1 tDCS improves chronic-stroke hand function,"Crossover, sham-ctrl (n=6)","Jebsen-Taylor, pinch",Anodal,Ipsilesional M1,Contralateral supraorbital,1,25,0.040,20,1,☺ ↑ hand function; outlasts stim ≥40 min,https://pubmed.ncbi.nlm.nih.gov/?term=Hummel%202005%20tDCS,"UNVERIFIED — Brain paywalled (hal PDF blocked); area 25 cm² inferred from stroke-lab standard, NOT source-confirmed",,,
,Stroke rehab,Motor (chronic),,Fregni,USA / Brazil,2005,Neuroreport,Anodal M1 (and cathodal contralesional) tDCS improve stroke motor,Crossover (n=6),Both montages helped,Anodal / cathodal,Ipsilesional M1 / contralesional M1,Supraorbital,1,25,0.040,20,1,☺ ↑ paretic motor performance vs sham,https://pubmed.ncbi.nlm.nih.gov/?term=Fregni%202005%20tDCS,PARTIAL — Electrode area 25 cm² (Cohen-lab lineage); full protocol not full-text-verified (primary source paywalled),,,
,Stroke rehab,Motor (chronic),,Boggio,Brazil,2007,Restor Neurol Neurosci,Anodal & cathodal tDCS improve paretic hand function,Crossover,Repeated sessions,Anodal / cathodal,Ipsilesional M1 / contralesional M1,Supraorbital,1,35,0.029,20,5,☺ ↑ Jebsen-Taylor vs sham,https://pubmed.ncbi.nlm.nih.gov/?term=Boggio%202007%20tDCS,"UNVERIFIED — Restor Neurol Neurosci full text not openly accessible to automated fetch (paywalled/blocked); protocol values are as-reported/standard, NOT PDF-confirmed",,,
★,Stroke rehab,Motor (bihemispheric),,Lindenberg,USA,2010,Neurology,Bihemispheric tDCS + therapy facilitates chronic-stroke recovery,RCT (n=20),Dual-tDCS + PT/OT,Anodal+Cathodal (dual),Ipsilesional M1 (anode),Contralesional M1 (cathode),1.5,16,0.094,30,5,☺ ↑ motor function vs sham; retained ≥1 wk,https://pubmed.ncbi.nlm.nih.gov/?term=Lindenberg%202010%20tDCS,UNVERIFIED — Neurology paywalled,,,
,Stroke rehab,Motor + CIMT,,Bolognini,Italy,2011,Neurorehabil Neural Repair,Bihemispheric tDCS augments constraint-induced therapy,RCT (n=14),tDCS + CIMT,Anodal+Cathodal (dual),Ipsilesional M1,Contralesional M1,2,35,0.057,40,10,☺ ↑ motor gains & excitability vs sham+CIMT,https://pubmed.ncbi.nlm.nih.gov/?term=Bolognini%202011%20tDCS,"UNVERIFIED — Neurorehabil Neural Repair full text not openly accessible to automated fetch (paywalled/blocked); protocol values are as-reported/standard, NOT PDF-confirmed",,,
,Stroke rehab,Motor (subacute),,Kim,South Korea,2010,Am J Phys Med Rehabil,Anodal M1 tDCS + rehab in subacute stroke,RCT (n=18),Subacute,Anodal,Ipsilesional M1,Contralateral supraorbital,2,25,0.080,20,10,☺ ↑ motor outcome vs sham,https://pubmed.ncbi.nlm.nih.gov/?term=Kim%202010%20tDCS,"UNVERIFIED — Am J Phys Med Rehabil full text not openly accessible to automated fetch (paywalled/blocked); protocol values are as-reported/standard, NOT PDF-confirmed",,,
,Stroke rehab,Cathodal contralesional,,Nair,USA,2011,Restor Neurol Neurosci,Cathodal contralesional M1 tDCS + OT in chronic stroke,RCT (n=14),Inhibit intact hemisphere,Cathodal,Contralesional M1,Ipsilesional supraorbital,1,16,0.062,30,5,☺ ↑ motor function vs sham+OT,https://pubmed.ncbi.nlm.nih.gov/?term=Nair%202011%20tDCS,"UNVERIFIED — Restor Neurol Neurosci full text not openly accessible to automated fetch (paywalled/blocked); protocol values are as-reported/standard, NOT PDF-confirmed",,,
,Stroke rehab,Motor + rehab,,Allman,UK,2016,Sci Transl Med,Anodal M1 tDCS + 9-day arm rehab in chronic stroke,RCT (n=24),Structural/functional MRI,Anodal,Ipsilesional M1,Contralateral supraorbital,1,25,0.040,20,9,☺ Moderate ↑ motor function at 3 mo,https://pubmed.ncbi.nlm.nih.gov/?term=Allman%202016%20tDCS,"UNVERIFIED — Sci Transl Med full text not openly accessible to automated fetch (paywalled/blocked); protocol values are as-reported/standard, NOT PDF-confirmed",,,
,Stroke rehab,Motor (acute/subacute),,Khedr,Egypt,2013,Neurorehabil Neural Repair,Anodal vs cathodal tDCS in acute ischemic stroke,RCT (n=40),Early after stroke,Anodal / cathodal,Ipsilesional M1 / contralesional M1,Supraorbital,2,35,0.057,25,6,☺ Both active arms ↑ recovery vs sham,https://pubmed.ncbi.nlm.nih.gov/?term=Khedr%202013%20tDCS,"UNVERIFIED — Neurorehabil Neural Repair full text not openly accessible to automated fetch (paywalled/blocked); protocol values are as-reported/standard, NOT PDF-confirmed",,,
,Stroke rehab,Robot + tDCS,,Hesse,Germany,2011,Restor Neurol Neurosci,Anodal tDCS + robot arm training in subacute stroke,RCT (n=96),Large subacute trial,Anodal,Ipsilesional M1,Contralateral supraorbital,2,35,0.057,20,30,☹ No added benefit over robot training alone,https://pubmed.ncbi.nlm.nih.gov/?term=Hesse%202011%20tDCS,"UNVERIFIED — Restor Neurol Neurosci full text not openly accessible to automated fetch (paywalled/blocked); protocol values are as-reported/standard, NOT PDF-confirmed",,,
★,Aphasia (post-stroke),Naming,,Baker,USA,2010,Stroke,Anodal left-frontal tDCS improves naming in aphasia,"Crossover, sham-ctrl (n=10)",fMRI-guided anode,Anodal,Left frontal (perilesional),Right shoulder,1,25,0.040,20,5,☺ ↑ naming accuracy; maintained ≥1 wk,https://pubmed.ncbi.nlm.nih.gov/?term=Baker%202010%20tDCS,"VERIFIED (PMC2876210): 5×5=25 cm², 1 mA, 20 min, 5 sessions, left frontal (fMRI) / RIGHT SHOULDER [corrected cathode+area]",,,
,Aphasia (post-stroke),Naming,,Fridriksson,USA,2011,Stroke,Anodal tDCS over posterior perisylvian region improves naming,RCT (n=8),Left posterior cortex,Anodal,Left posterior perisylvian,Right supraorbital,1,—,—,20,5,☺ ↑ naming reaction time vs sham,https://pubmed.ncbi.nlm.nih.gov/?term=Fridriksson%202011%20tDCS,"UNVERIFIED — Stroke full text not openly accessible to automated fetch (paywalled/blocked); protocol values are as-reported/standard, NOT PDF-confirmed",,,
★,Aphasia (post-stroke),Naming (large RCT),,Fridriksson,USA,2018,Brain,Anodal IFG tDCS + naming therapy (largest aphasia RCT),RCT (n=74),Left IFG + treatment,Anodal,Left IFG,Right supraorbital,1,—,—,20,15,☺ ↑ naming gains vs sham + therapy,https://pubmed.ncbi.nlm.nih.gov/?term=Fridriksson%202018%20tDCS,"UNVERIFIED — Brain full text not openly accessible to automated fetch (paywalled/blocked); protocol values are as-reported/standard, NOT PDF-confirmed",,,
,Aphasia (post-stroke),Articulation,,Marangolo,Italy,2011,Behav Brain Res,Bihemispheric tDCS improves articulation in aphasia,Crossover,Repeated sessions,Anodal / cathodal,Left frontal / right,Contralateral,2,—,—,20,5,☺ ↑ speech articulation vs sham,https://pubmed.ncbi.nlm.nih.gov/?term=Marangolo%202011%20tDCS,"UNVERIFIED — Behav Brain Res full text not openly accessible to automated fetch (paywalled/blocked); protocol values are as-reported/standard, NOT PDF-confirmed",,,
,Aphasia (post-stroke),Naming + therapy,,Meinzer,Germany / Australia,2016,Brain,Anodal tDCS + intensive naming therapy in chronic aphasia,RCT (n=26),Combined with SLT,Anodal,Left primary motor / IFG,Right supraorbital,1,—,—,20,8,☺ ↑ naming vs sham + therapy; durable,https://pubmed.ncbi.nlm.nih.gov/?term=Meinzer%202016%20tDCS,"UNVERIFIED — Brain full text not openly accessible to automated fetch (paywalled/blocked); protocol values are as-reported/standard, NOT PDF-confirmed",,,
,Aphasia (post-stroke),Naming,,You,South Korea,2011,Brain Lang,Cathodal right vs anodal left tDCS for subacute aphasia,RCT (n=21),Comprehension outcome,Cathodal / anodal,Right STG / left STG,Contralateral,2,35,0.057,30,10,☺ Cathodal right ↑ comprehension vs sham,https://pubmed.ncbi.nlm.nih.gov/?term=You%202011%20tDCS,"UNVERIFIED — Brain Lang full text not openly accessible to automated fetch (paywalled/blocked); protocol values are as-reported/standard, NOT PDF-confirmed",,,
,Aphasia (post-stroke),Naming,,Fiori,Italy,2013,Restor Neurol Neurosci,Anodal Wernicke-area tDCS improves naming & learning,Crossover,Word learning,Anodal,Left Wernicke (temporoparietal),Right supraorbital,1,—,—,20,5,☺ ↑ naming & retention,https://pubmed.ncbi.nlm.nih.gov/?term=Fiori%202013%20tDCS,"UNVERIFIED — Restor Neurol Neurosci full text not openly accessible to automated fetch (paywalled/blocked); protocol values are as-reported/standard, NOT PDF-confirmed",,,
,Stroke rehab,Spatial neglect,,Ko,South Korea,2008,Neurosci Lett,Anodal right posterior parietal tDCS reduces neglect,Crossover (n=15),Right PPC,Anodal,Right posterior parietal,Left supraorbital,2,35,0.057,20,1,☺ ↑ neglect task performance,https://pubmed.ncbi.nlm.nih.gov/?term=Ko%202008%20tDCS,"UNVERIFIED — Neurosci Lett full text not openly accessible to automated fetch (paywalled/blocked); protocol values are as-reported/standard, NOT PDF-confirmed",,,
,Stroke rehab,Spatial neglect,,Sparing,Germany,2009,Brain,tDCS restores visuospatial balance in neglect,Crossover (n=10),Bidirectional PPC,Anodal / cathodal,Right PPC (anode) / left PPC (cathode),Contralateral,1,35,0.029,10,1,☺ ↓ neglect with either montage,https://pubmed.ncbi.nlm.nih.gov/?term=Sparing%202009%20tDCS,"UNVERIFIED — Brain full text not openly accessible to automated fetch (paywalled/blocked); protocol values are as-reported/standard, NOT PDF-confirmed",,,
,Stroke rehab,Spatial neglect,,Sunwoo,South Korea,2013,Neurosci Lett,Dual-mode parietal tDCS improves chronic neglect,Crossover (n=10),Dual > single,Anodal+Cathodal (dual),Right PPC,Left PPC,1,35,0.029,20,1,☺ Dual montage ↑ line-bisection,https://pubmed.ncbi.nlm.nih.gov/?term=Sunwoo%202013%20tDCS,"UNVERIFIED — Neurosci Lett full text not openly accessible to automated fetch (paywalled/blocked); protocol values are as-reported/standard, NOT PDF-confirmed",,,
★,Chronic pain,Fibromyalgia,,Fregni,USA / Brazil,2006,Arthritis Rheum,Anodal M1 tDCS reduces fibromyalgia pain (vs DLPFC/sham),RCT (n=32),M1 > DLPFC > sham,Anodal,M1 (C3/C4),Contralateral supraorbital,2,35,0.057,20,5,☺ M1 ↓ pain vs sham & DLPFC,https://pubmed.ncbi.nlm.nih.gov/?term=Fregni%202006%20tDCS,PARTIAL — Electrode area verified vs primary source; full protocol not full-text-verified (primary source paywalled),,,
