★,Category,Subcategory,,First author,Country,Year,Journal,Title,Study type,Notes,Modality,Target / location,Frequency (Hz),Current (mA),Pulse width (µs),Duty cycle (on/off),Paired therapy,Device,Duration (per session),N sessions / therapy length,Results (☺ positive / modest / ☹ null → conclusions),Link
☺ (modest),Epilepsy,taVNS pilot,,Stefan,Germany,2012,Epilepsia,Transcutaneous vagus nerve stimulation (t-VNS) in pharmacoresistant epilepsy: a pilot study,"Pilot, n=10",Auricular taVNS,taVNS,Auricular (tragus),25,0.5-1.0,250,30s on / varied,—,NEMOS,1 hr x3/day,9 mo,Reduced seizures in subset; feasible non-invasive alternative,https://pubmed.ncbi.nlm.nih.gov/?term=Stefan%202012%20vagus%20nerve%20stimulation
☺ (modest),Epilepsy,taVNS RCT,,Bauer,Germany,2016,Brain Stimul,Transcutaneous vagus nerve stimulation (tVNS) for treatment of drug-resistant epilepsy (cMPsE02),"RCT, n=76",1Hz vs 25Hz active-control,taVNS,Auricular (cymba conchae),25 vs 1,0.5-1.0,250,4h/day,—,NEMOS,4 h/day,20 wk,Both arms improved; 25Hz not superior to 1Hz control (interpret cautiously),https://pubmed.ncbi.nlm.nih.gov/?term=Bauer%202016%20vagus%20nerve%20stimulation
☺ (modest),Epilepsy,taVNS children,,He,China,2013,Epilepsy Behav,Transcutaneous auricular vagus nerve stimulation for pediatric epilepsy: feasibility,"Pilot, children",Auricular taVNS,taVNS,Auricular (concha),20-30,to tolerance,200-300,varied,—,—,—,24 wk,Reduced seizure frequency in children (pilot),https://pubmed.ncbi.nlm.nih.gov/?term=He%202013%20vagus%20nerve%20stimulation
☺ (modest),Depression (MDD),Pilot (D01),,Rush,USA,2000,Biol Psychiatry,Vagus nerve stimulation for treatment-resistant depression: a multicenter study of efficacy and safety,"Open pilot, n=30",First VNS depression study,Implanted cervical,Left cervical vagus,20-30,0.25-3.0,250-500,30s on / 5min off,—,NCP,chronic,10 wk,~40% response in open-label pilot,https://pubmed.ncbi.nlm.nih.gov/?term=Rush%202000%20vagus%20nerve%20stimulation
☺ (modest),Depression (MDD),Pilot predictors,,Sackeim,USA,2001,Neuropsychopharmacology,"Vagus nerve stimulation for treatment-resistant depression: efficacy, side effects, predictors of outcome","Open pilot, n=59",Lower antidepressant resistance predicts response,Implanted cervical,Left cervical vagus,20-30,titrated,250-500,30s on / 5min off,—,NCP,chronic,10 wk,Response better in less treatment-resistant patients,https://pubmed.ncbi.nlm.nih.gov/?term=Sackeim%202001%20vagus%20nerve%20stimulation
☹,Depression (MDD),Pivotal acute RCT (D02),,Rush,USA,2005,Biol Psychiatry,Vagus nerve stimulation for treatment-resistant depression: a randomized controlled acute-phase trial (D02),"RCT, n=235",Negative on primary endpoint,Implanted cervical,Left cervical vagus,20-30,titrated,250-500,30s on / 5min off,—,VNS Therapy,chronic,10 wk,No significant difference vs sham at 10 wk (valid negative on primary),https://pubmed.ncbi.nlm.nih.gov/?term=Rush%202005%20vagus%20nerve%20stimulation
☺ (modest),Depression (MDD),Naturalistic 12-month,,Rush,USA,2005,Biol Psychiatry,Vagus nerve stimulation for treatment-resistant depression: 12-month outcomes,"Open follow-up, n=205",Benefit accrues over time,Implanted cervical,Left cervical vagus,20-30,titrated,250-500,30s on / 5min off,—,VNS Therapy,chronic,12 mo,Response ~27% and remission ~16% at 12 mo; improvement over time,https://pubmed.ncbi.nlm.nih.gov/?term=Rush%202005%20vagus%20nerve%20stimulation
☺ (modest),Depression (MDD),VNS + TAU vs TAU,,George,USA,2005,Biol Psychiatry,A one-year comparison of vagus nerve stimulation with treatment as usual for treatment-resistant depression,"Comparative, n=205 vs 124",Adjunctive VNS vs usual care,Implanted cervical,Left cervical vagus,20-30,titrated,250-500,30s on / 5min off,—,VNS Therapy,chronic,12 mo,VNS + TAU outperformed TAU alone over 12 mo (basis of FDA approval 2005),https://pubmed.ncbi.nlm.nih.gov/?term=George%202005%20vagus%20nerve%20stimulation
☺,Depression (MDD),5-year registry,,Aaronson,USA,2017,Am J Psychiatry,A 5-year observational study of patients with treatment-resistant depression treated with VNS or treatment as usual,"Registry, n=795",Largest long-term dataset,Implanted cervical,Left cervical vagus,20-30,titrated,250-500,30s on / 5min off,—,VNS Therapy,chronic,5 yr,VNS + TAU: higher cumulative response (~68%) and remission and lower mortality vs TAU,https://pubmed.ncbi.nlm.nih.gov/?term=Aaronson%202017%20vagus%20nerve%20stimulation
☺ (modest),Depression (MDD),Meta-analysis,,Berry,USA,2013,Med Devices (Auckl),A patient-level meta-analysis of studies evaluating VNS therapy for treatment-resistant depression,Meta-analysis,Pooled VNS depression,Implanted cervical,Left cervical vagus,20-30,—,—,—,—,VNS Therapy,chronic,—,VNS + TAU superior to TAU on response over time,https://pubmed.ncbi.nlm.nih.gov/?term=Berry%202013%20vagus%20nerve%20stimulation
☺ (modest),Depression (MDD),European long-term,,Bajbouj,Germany,2010,J Clin Psychopharmacol,Two-year outcome of vagus nerve stimulation in treatment-resistant depression,"Open follow-up, n=74",European cohort,Implanted cervical,Left cervical vagus,20-30,titrated,250-500,30s on / 5min off,—,VNS Therapy,chronic,2 yr,Response ~53% and remission ~33% at 2 yr,https://pubmed.ncbi.nlm.nih.gov/?term=Bajbouj%202010%20vagus%20nerve%20stimulation
☺ (modest),Depression (MDD),taVNS pilot,,Hein,Germany,2013,J Neural Transm,Auricular transcutaneous electrical nerve stimulation in depressed patients: a randomized controlled pilot study,"RCT pilot, n=37",Add-on taVNS,taVNS,Auricular (concha),0.5-25,to tolerance,250,varied,—,—,15-30 min,2 wk,Add-on taVNS reduced depression scores vs sham,https://pubmed.ncbi.nlm.nih.gov/?term=Hein%202013%20vagus%20nerve%20stimulation
☺ (modest),Depression (MDD),taVNS RCT,,Rong,China,2016,J Affect Disord,Transcutaneous vagus nerve stimulation for the treatment of depression: a study protocol / RCT,"RCT, n=160",Larger taVNS depression trial,taVNS,Auricular (cymba conchae),20,4-6,200-300,30s on / 30s off,—,—,30 min x2/day,12 wk,taVNS reduced HAMD vs sham-control ear site,https://pubmed.ncbi.nlm.nih.gov/?term=Rong%202016%20vagus%20nerve%20stimulation
☺ (modest),Depression (MDD),taVNS + fMRI,,Fang,China,2016,Biol Psychiatry,Transcutaneous vagus nerve stimulation modulates default mode network in major depressive disorder,"RCT + fMRI, n=49",Mechanism + clinical,taVNS,Auricular (cymba conchae),20,4-6,200-300,30s on / 30s off,—,—,30 min,4 wk,Clinical improvement with DMN-insula connectivity changes,https://pubmed.ncbi.nlm.nih.gov/?term=Fang%202016%20vagus%20nerve%20stimulation
☺ (modest),Depression (MDD),taVNS meta-analysis,,Trevizol,Brazil,2016,J ECT / meta,Transcutaneous vagus nerve stimulation for major depressive disorder: systematic review,Systematic review,Pooled taVNS depression,taVNS,Auricular,20-25,—,—,—,—,—,—,—,taVNS shows antidepressant signal; larger RCTs needed,https://pubmed.ncbi.nlm.nih.gov/?term=Trevizol%202016%20vagus%20nerve%20stimulation
☺,Cluster headache,Acute RCT (ACT1),,Silberstein,USA,2016,Neurology,Non-invasive vagus nerve stimulation for the acute treatment of cluster headache (ACT1),"RCT, n=133",gammaCore acute; FDA cleared 2017,tcVNS,Cervical vagus (neck),25 (5kHz bursts),to tolerance,1 ms bursts,120 s x up to 3,—,gammaCore,2 min x3,per attack,Higher response for episodic cluster; shorter attacks vs sham,https://pubmed.ncbi.nlm.nih.gov/?term=Silberstein%202016%20vagus%20nerve%20stimulation
☺ (modest),Cluster headache,Acute RCT (ACT2),,Goadsby,UK / EU,2018,Cephalalgia,Non-invasive vagus nerve stimulation for the acute treatment of episodic and chronic cluster headache (ACT2),"RCT, n=92",Acute cluster,tcVNS,Cervical vagus (neck),25 (5kHz bursts),to tolerance,1 ms bursts,120 s x3,—,gammaCore,2 min x3,per attack,Pain-free at 15 min higher vs sham in episodic cluster,https://pubmed.ncbi.nlm.nih.gov/?term=Goadsby%202018%20vagus%20nerve%20stimulation
☺,Cluster headache,Prevention RCT (PREVA),,Gaul,Germany / EU,2016,Cephalalgia,Non-invasive vagus nerve stimulation for prevention of chronic cluster headache (PREVA),"RCT, n=97",Prophylaxis,tcVNS,Cervical vagus (neck),25 (5kHz bursts),to tolerance,1 ms bursts,"120 s x2, 3x/day",—,gammaCore,2 min doses,4 wk,Reduced attack frequency added to standard care in chronic cluster,https://pubmed.ncbi.nlm.nih.gov/?term=Gaul%202016%20vagus%20nerve%20stimulation
☺,Migraine,Acute RCT (PRESTO),,Tassorelli,Italy / EU / USA,2018,Neurology,Non-invasive vagus nerve stimulation as acute therapy for migraine (PRESTO),"RCT, n=248",gammaCore acute migraine; FDA 2018,tcVNS,Cervical vagus (neck),25 (5kHz bursts),to tolerance,1 ms bursts,120 s x up to 3,—,gammaCore,2 min doses,per attack,Higher pain-free rate at 30-60 min vs sham,https://pubmed.ncbi.nlm.nih.gov/?term=Tassorelli%202018%20vagus%20nerve%20stimulation
☺ (modest),Migraine,Prevention RCT (PREMIUM),,Diener,Germany / EU,2019,Cephalalgia,Non-invasive vagus nerve stimulation for prevention of migraine (PREMIUM),"RCT, n=332",Prophylaxis,tcVNS,Cervical vagus (neck),25 (5kHz bursts),to tolerance,1 ms bursts,"120 s x2, 3x/day",—,gammaCore,2 min doses,12 wk,Did not meet primary; benefit in adherent subgroup / open-label extension,https://pubmed.ncbi.nlm.nih.gov/?term=Diener%202019%20vagus%20nerve%20stimulation
☺ (modest),Migraine,Chronic migraine (EVENT),,Silberstein,USA,2016,Headache,Chronic migraine prevention with non-invasive vagus nerve stimulation (EVENT),"RCT pilot, n=59",Prophylaxis chronic migraine,tcVNS,Cervical vagus (neck),25 (5kHz bursts),to tolerance,1 ms bursts,90-120 s x3/day,—,gammaCore,doses,2+6 mo,Trend to fewer headache days; positive in open-label phase,https://pubmed.ncbi.nlm.nih.gov/?term=Silberstein%202016%20vagus%20nerve%20stimulation
☺ (modest),Migraine,taVNS prevention RCT,,Straube,Germany,2015,J Headache Pain,Transcutaneous vagus nerve stimulation for chronic migraine prevention: randomized controlled trial,"RCT, n=46",1Hz vs 25Hz auricular,taVNS,Auricular (cymba conchae),1 vs 25,to tolerance,250,4h/day,—,NEMOS,4 h/day,3 mo,1Hz reduced headache days more than 25Hz control,https://pubmed.ncbi.nlm.nih.gov/?term=Straube%202015%20vagus%20nerve%20stimulation
☺ (modest),Stroke rehabilitation,Pilot RCT,,Dawson,UK,2016,Stroke,Vagus nerve stimulation paired with upper-limb rehabilitation after chronic stroke: pilot randomized trial,"RCT pilot, n=21",Implanted VNS + rehab,Implanted cervical,Left cervical vagus,30,0.8,100,0.5s bursts with movement,with upper-limb rehab,MicroTransponder,rehab sessions,6 wk,Greater arm-function gains with VNS-paired rehab (feasibility),https://pubmed.ncbi.nlm.nih.gov/?term=Dawson%202016%20vagus%20nerve%20stimulation
☺ (modest),Stroke rehabilitation,Randomized pilot,,Kimberley,USA,2018,Stroke,Vagus nerve stimulation paired with upper-limb rehabilitation after chronic stroke,"RCT, n=17",Blinded pilot,Implanted cervical,Left cervical vagus,30,0.8,100,"0.5s bursts, movement-paired",with upper-limb rehab,MicroTransponder,rehab sessions,6 wk + home,VNS + rehab improved FMA-UE; supported pivotal trial,https://pubmed.ncbi.nlm.nih.gov/?term=Kimberley%202018%20vagus%20nerve%20stimulation
☺,Stroke rehabilitation,Pivotal RCT (VNS-REHAB),,Dawson,UK / USA multicenter,2021,Lancet,Vagus nerve stimulation paired with rehabilitation for upper limb motor function after ischaemic stroke (VNS-REHAB),"RCT, n=108",FDA-approved Vivistim 2021,Implanted cervical,Left cervical vagus,30,0.8,100,"0.5s bursts, movement-paired",with upper-limb rehab,Vivistim,rehab sessions,6 wk in-clinic + home,Clinically meaningful FMA-UE response 47% vs 24% at 90 days,https://pubmed.ncbi.nlm.nih.gov/?term=Dawson%202021%20vagus%20nerve%20stimulation
☺ (modest),Stroke rehabilitation,taVNS + rehab,,Capone,Italy,2017,Neural Plast,Transcutaneous vagus nerve stimulation combined with robotic rehabilitation improves upper-limb function after stroke,RCT pilot,Non-invasive taVNS + robot rehab,taVNS,Auricular (tragus),20-25,to tolerance,200-300,paired with movement,with robotic rehab,—,rehab sessions,weeks,Trend to greater motor gains with taVNS-paired rehab,https://pubmed.ncbi.nlm.nih.gov/?term=Capone%202017%20vagus%20nerve%20stimulation
⚔ ref,Inflammation / autoimmune,Foundational (inflammatory reflex),,Tracey,USA,2002,Nature,The inflammatory reflex,Review / concept,Cholinergic anti-inflammatory pathway,—,Vagus nerve,—,—,—,—,—,—,—,Defined the neural inflammatory reflex — rationale for VNS in inflammation,,https://pubmed.ncbi.nlm.nih.gov/?term=Tracey%202002%20vagus%20nerve%20stimulation
☺,Inflammation / autoimmune,Foundational (animal),,Borovikova,USA,2000,Nature,Vagus nerve stimulation attenuates the systemic inflammatory response to endotoxin,"Animal, rat",Vagus stim inhibits TNF,Implanted cervical,Cervical vagus,1-5,1-5,2 ms,continuous,—,—,10 min,1,Efferent vagus stimulation suppressed TNF and endotoxic shock (mechanism),https://pubmed.ncbi.nlm.nih.gov/?term=Borovikova%202000%20vagus%20nerve%20stimulation
☺,Rheumatoid arthritis,Implanted VNS pilot,,Koopman,Netherlands / intl,2016,PNAS,Vagus nerve stimulation inhibits cytokine production and attenuates disease severity in rheumatoid arthritis,"Open pilot, n=17",First human RA VNS,Implanted cervical,Left cervical vagus,10,0.25-2.0,250,"60 s, 1-4x/day",—,Cyberonics/SetPoint,1-4 min/day,84 days,Reduced TNF and DAS28 disease activity; proof of inflammatory reflex in humans,https://pubmed.ncbi.nlm.nih.gov/?term=Koopman%202016%20vagus%20nerve%20stimulation
☺ (modest),Rheumatoid arthritis,Micro-regulator RA,,Genovese,USA / intl,2020,Lancet Rheumatol,Neurostimulation of the vagus nerve (micro-regulator) for rheumatoid arthritis: proof-of-concept,RCT pilot,Miniaturized implant,Implanted cervical,Left cervical vagus,—,titrated,—,1-4x/day,—,SetPoint micro-regulator,min/day,12 wk,Reduced disease activity in a subset; feasible,https://pubmed.ncbi.nlm.nih.gov/?term=Genovese%202020%20vagus%20nerve%20stimulation
☺ (modest),Crohn's disease / IBD,Implanted VNS pilot,,Bonaz,France,2016,Neurogastroenterol Motil,Chronic vagus nerve stimulation in Crohn's disease: a 6-month follow-up pilot study,"Pilot, n=7",Anti-inflammatory VNS,Implanted cervical,Left cervical vagus,10,0.25-1.5,500,30s on / 5min off,—,—,chronic,6 mo,Clinical and endoscopic remission in most patients (pilot),https://pubmed.ncbi.nlm.nih.gov/?term=Bonaz%202016%20vagus%20nerve%20stimulation
☺ (modest),Sjögren / lupus,taVNS pilot,,Aranow,USA,2021,Ann Rheum Dis / Lupus Sci Med,Transcutaneous auricular vagus nerve stimulation reduces fatigue/pain in Sjögren and SLE,Pilot,Non-invasive taVNS,taVNS,Auricular,—,to tolerance,—,4-5 min/day,—,—,min/day,weeks,Reduced fatigue and musculoskeletal pain (pilot),https://pubmed.ncbi.nlm.nih.gov/?term=Aranow%202021%20vagus%20nerve%20stimulation
☺ (modest),Heart failure,Open-label (ANTHEM-HF),,Premchand,India,2014,J Card Fail,Autonomic regulation therapy via left or right cervical vagus nerve stimulation in patients with chronic heart failure (ANTHEM-HF),"Open-label, n=60",VNS improved EF/function,Implanted cervical,Left or right cervical vagus,10,titrated,300,varied,—,Cyberonics,chronic,6 mo,"Improved ejection fraction, NYHA class, and QoL (open-label)",https://pubmed.ncbi.nlm.nih.gov/?term=Premchand%202014%20vagus%20nerve%20stimulation
☹,Heart failure,RCT negative (INOVATE-HF),,Gold,USA / intl,2016,J Am Coll Cardiol,Vagus nerve stimulation for the treatment of heart failure: the INOVATE-HF trial,"RCT, n=707",Negative primary,Implanted cervical,Right cervical vagus,—,titrated,—,closed-loop,—,CardioFit,chronic,~16 mo,No reduction in death or HF events vs control (valid negative),https://pubmed.ncbi.nlm.nih.gov/?term=Gold%202016%20vagus%20nerve%20stimulation
☹,Heart failure,RCT negative (NECTAR-HF),,Zannad,France / EU,2015,Eur Heart J,Chronic vagal stimulation for the treatment of low ejection fraction heart failure (NECTAR-HF),"RCT, n=96",Negative primary,Implanted cervical,Right cervical vagus,—,titrated,—,continuous,—,Boston Scientific,chronic,6 mo,No improvement in LV remodeling primary endpoint (valid negative),https://pubmed.ncbi.nlm.nih.gov/?term=Zannad%202015%20vagus%20nerve%20stimulation
☺ (modest),Atrial fibrillation,taVNS RCT,,Stavrakis,USA,2015,J Am Coll Cardiol,Low-level transcutaneous electrical stimulation of the auricular branch of the vagus nerve suppresses atrial fibrillation,"RCT crossover, n=40",Low-level taVNS,taVNS,Auricular (tragus),20,1 mA below discomfort,200-300,1 hr,—,—,1 hr,acute,Reduced AF inducibility and inflammatory cytokines,https://pubmed.ncbi.nlm.nih.gov/?term=Stavrakis%202015%20vagus%20nerve%20stimulation
☺ (modest),Atrial fibrillation,taVNS RCT (TREAT-AF),,Stavrakis,USA,2020,JACC Clin Electrophysiol,Transcutaneous vagus nerve stimulation to reduce atrial fibrillation burden (TREAT-AF),"RCT, n=53",Chronic taVNS,taVNS,Auricular (tragus),20,to tolerance,200-300,1 hr/day,—,—,1 hr/day,6 mo,Reduced AF burden vs sham,https://pubmed.ncbi.nlm.nih.gov/?term=Stavrakis%202020%20vagus%20nerve%20stimulation
☺ (modest),POTS / autonomic,taVNS,,Stavrakis,USA,2021,J Am Coll Cardiol / Circ,Transcutaneous vagus nerve stimulation in postural tachycardia syndrome,RCT pilot,Autonomic modulation,taVNS,Auricular (tragus),20,to tolerance,200-300,1 hr/day,—,—,1 hr/day,2 mo,Reduced postural tachycardia and improved autonomic balance,https://pubmed.ncbi.nlm.nih.gov/?term=Stavrakis%202021%20vagus%20nerve%20stimulation
☺ (modest),Obesity / metabolic,VBLOC pilot,,Camilleri,USA,2008,Surgery,Intra-abdominal vagal blocking (VBLOC therapy): clinical results with a new implantable device,Open pilot,Vagal BLOCKING (not stimulation),Implanted (intra-abdominal),Subdiaphragmatic vagal trunks,5000 (high-freq block),up to 8,—,intermittent block,—,Maestro (VBLOC),hrs/day,weeks,High-frequency vagal blocking reduced food intake and weight (pilot),https://pubmed.ncbi.nlm.nih.gov/?term=Camilleri%202008%20vagus%20nerve%20stimulation
☹,Obesity / metabolic,RCT (EMPOWER),,Sarr,USA,2012,Obes Surg,The EMPOWER study: randomized trial of vagal blocking for obesity,"RCT, n=294",Negative primary,Implanted (intra-abdominal),Vagal trunks,5000 (block),up to 8,—,intermittent block,—,Maestro (VBLOC),hrs/day,12 mo,No significant weight loss vs sham (high sham response; valid negative),https://pubmed.ncbi.nlm.nih.gov/?term=Sarr%202012%20vagus%20nerve%20stimulation
☺ (modest),Obesity / metabolic,RCT (ReCharge),,Ikramuddin,USA,2014,JAMA,Effect of reversible intermittent intra-abdominal vagal nerve blockade on morbid obesity (ReCharge),"RCT, n=239",FDA-approved Maestro 2015,Implanted (intra-abdominal),Vagal trunks,5000 (block),up to 8,—,intermittent block,—,Maestro (VBLOC),~12 hr/day,12 mo,Greater weight loss vs sham (met co-primary but not superiority margin),https://pubmed.ncbi.nlm.nih.gov/?term=Ikramuddin%202014%20vagus%20nerve%20stimulation
☺,Tinnitus,"Foundational (animal, paired)",,Engineer,USA,2011,Nature,Reversing pathological neural activity using targeted plasticity,"Animal, rat",VNS paired with tones,Implanted cervical,Cervical vagus,30,0.8,100,tone-paired bursts,with auditory tones,—,—,weeks,VNS-tone pairing reversed tinnitus-related plasticity (basis of human trials),https://pubmed.ncbi.nlm.nih.gov/?term=Engineer%202011%20vagus%20nerve%20stimulation
☺ (modest),Tinnitus,Human pilot (paired),,De Ridder,Belgium / USA,2014,Neuromodulation,Placebo-controlled vagus nerve stimulation paired with tones for tinnitus: a case series,"Pilot, n=10",VNS + tones,Implanted cervical,Left cervical vagus,30,0.8,100,tone-paired,with auditory tones,MicroTransponder,20-150 min,20 days,Reduced tinnitus in a subset; paired plasticity approach feasible,https://pubmed.ncbi.nlm.nih.gov/?term=De%20Ridder%202014%20vagus%20nerve%20stimulation
☺ (modest),Tinnitus,RCT (paired),,Tyler,USA,2017,Sci Rep,Vagus nerve stimulation paired with tones for the treatment of tinnitus: a prospective randomized double-blind trial,"RCT, n=30",VNS + tones vs unpaired,Implanted cervical,Left cervical vagus,30,0.8,100,tone-paired,with auditory tones,MicroTransponder,2.5 hr/day,6-12 wk,Paired VNS + tones improved tinnitus outcomes in a subgroup,https://pubmed.ncbi.nlm.nih.gov/?term=Tyler%202017%20vagus%20nerve%20stimulation
☺ (modest),Disorders of consciousness,VNS in vegetative state,,Corazzol,France,2017,Curr Biol,Restoring consciousness with vagus nerve stimulation,"Case study, n=1",Implanted VNS after 15 yr PVS,Implanted cervical,Left cervical vagus,20-30,titrated to 1.5,250-500,30s on / 5min off,—,VNS Therapy,chronic,1 mo,Signs of transition from vegetative to minimally conscious state,https://pubmed.ncbi.nlm.nih.gov/?term=Corazzol%202017%20vagus%20nerve%20stimulation
☺ (modest),Disorders of consciousness,taVNS DoC,,Noé,Spain,2020,Brain Stimul,Feasibility of transcutaneous auricular vagus nerve stimulation in disorders of consciousness,Pilot,Non-invasive taVNS,taVNS,Auricular (cymba conchae),25,to tolerance,250,varied,—,—,min/day,weeks,Behavioral improvements (CRS-R) in some patients (pilot),https://pubmed.ncbi.nlm.nih.gov/?term=No%C3%A9%202020%20vagus%20nerve%20stimulation
☺ (modest),Alzheimer's disease,Implanted VNS pilot,,Sjögren,Sweden,2002,J Clin Psychiatry,Cognition-enhancing effect of vagus nerve stimulation in patients with Alzheimer's disease: a pilot study,"Open pilot, n=10",Implanted VNS AD,Implanted cervical,Left cervical vagus,20-30,titrated,250-500,30s on / 5min off,—,NCP,chronic,6 mo,"Improved/stable cognition (ADAS-Cog, MMSE) at 6 mo (pilot)",https://pubmed.ncbi.nlm.nih.gov/?term=Sj%C3%B6gren%202002%20vagus%20nerve%20stimulation
☺ (modest),Alzheimer's disease,1-year AD,,Merrill,USA,2006,J Clin Psychiatry,Vagus nerve stimulation in patients with Alzheimer's disease: additional follow-up results at 1 year,"Open follow-up, n=17",Long-term AD,Implanted cervical,Left cervical vagus,20-30,titrated,250-500,30s on / 5min off,—,VNS Therapy,chronic,1 yr,Cognition stable/improved in some at 1 yr (uncontrolled),https://pubmed.ncbi.nlm.nih.gov/?term=Merrill%202006%20vagus%20nerve%20stimulation
☺ (modest),Cognition (healthy / aging),taVNS memory,,Jacobs,Netherlands,2015,Neurobiol Aging,Transcutaneous vagus nerve stimulation boosts associative memory in older individuals,"RCT, healthy older",Non-invasive taVNS,taVNS,Auricular (concha),10-25,0.5,200-300,paired with task,—,—,task duration,1 session,Improved associative memory vs sham (older adults),https://pubmed.ncbi.nlm.nih.gov/?term=Jacobs%202015%20vagus%20nerve%20stimulation
