★	Category	Subcategory		First author	Country	Year	Journal	Title	Study type	Notes	Coil type	Target site	Stim type	Freq (Hz)	Intensity (%MT)	Pulses / session	Total pulses (course)	Localization	t / session	N sessions	Results (☺ positive / modest / ☹ null → conclusions)	Link
☺ (modest)	Schizophrenia	AVH meta-analysis		Slotema	Netherlands	2014	Biol Psychiatry	Meta-analysis of rTMS for auditory verbal hallucinations	Meta-analysis	Effect wanes over time	Figure-8	Left TPC	rTMS	1	90-110% MT	—	—	—	—	—	Small-moderate short-term effect on AVH	https://pubmed.ncbi.nlm.nih.gov/?term=Slotema%202014%20TMS
☹	Schizophrenia	Negative symptoms		Wobrock	Germany	2015	Biol Psychiatry	rTMS of the left DLPFC for negative symptoms of schizophrenia (RESIS trial)	RCT, n=157	10Hz left DLPFC	Figure-8	Left DLPFC	rTMS	10	110% RMT	1000	15,000 (15)	10-20 system	—	15	No significant benefit over sham for negative symptoms	https://pubmed.ncbi.nlm.nih.gov/?term=Wobrock%202015%20TMS
☺	Migraine	Single-pulse TMS (acute)		Lipton	USA / UK	2010	Lancet Neurol	Single-pulse TMS for acute treatment of migraine with aura: randomised, double-blind, sham-controlled trial	RCT, n=201	sTMS device (eNeura); FDA cleared 2013	Handheld sTMS	Occipital cortex	single-pulse	— (2 pulses)	supra-threshold (fixed)	2	—	occiput at aura onset	seconds	PRN (per attack)	2-h pain-free 39% vs 22% sham	https://pubmed.ncbi.nlm.nih.gov/?term=Lipton%202010%20TMS
☺	Migraine	Prevention (sTMS)		Starling	USA	2018	Cephalalgia	Prevention of migraine with single-pulse TMS (ESPOUSE): open-label observational study	Observational	Preventive daily + acute PRN	Handheld sTMS	Occipital cortex	single-pulse	—	fixed	4 (prevention) + PRN	—	occiput	minutes	daily	Reduced monthly migraine days; FDA prevention clearance	https://pubmed.ncbi.nlm.nih.gov/?term=Starling%202018%20TMS
☺ (modest)	Migraine (chronic)	HF rTMS prophylaxis		(meta-analysis)	—	2018	J Headache Pain	rTMS for migraine prophylaxis: systematic review and meta-analysis	Meta-analysis	HF M1 or DLPFC	Figure-8	M1 / DLPFC	rTMS	10	80-90% RMT	—	—	—	—	—	Possible reduction in migraine frequency; evidence limited	https://pubmed.ncbi.nlm.nih.gov/?term=rTMS%20for%20migraine%20prophylaxis%3A%20systematic%20review%202018
☺	Neuropathic pain	HF M1 rTMS		Lefaucheur	France	2008	Pain	Motor cortex rTMS for chronic neuropathic pain: predictive value and mechanisms	RCT series	HF M1 contralateral to pain; Level A	Figure-8	M1 (somatotopic, contralateral)	rTMS	10	80-90% RMT	1500-2000	—	MRI neuronavigation to M1	~20 min	5-10	HF M1 rTMS produces analgesia (Level A recommendation)	https://pubmed.ncbi.nlm.nih.gov/?term=Lefaucheur%202008%20TMS
☺	Fibromyalgia	M1 rTMS		Passard	France	2007	Brain	Effects of rTMS on pain in fibromyalgia (left primary motor cortex)	RCT	HF left M1	Figure-8	Left M1	rTMS	10	80% RMT	2000	20,000 (10)	navigation	~20 min	10	Reduced pain and improved quality of life	https://pubmed.ncbi.nlm.nih.gov/?term=Passard%202007%20TMS
☺	Chronic pain	Evidence guideline		Lefaucheur	Europe (expert group)	2020	Clin Neurophysiol	Evidence-based guidelines on the therapeutic use of rTMS - update (2014-2018)	Guideline / consensus	Level A/B/C recommendations by indication	Figure-8	M1 / DLPFC	rTMS	10-20	80-90% RMT	—	—	navigation	—	—	Level A: HF-M1 for neuropathic pain; HF-L-DLPFC for depression	https://pubmed.ncbi.nlm.nih.gov/?term=Lefaucheur%202020%20TMS
☺	Stroke – Motor	Ipsilesional HF (early)		Khedr	Egypt	2005	Neurology	Therapeutic trial of repetitive TMS after acute ischemic stroke	RCT	HF ipsilesional M1 early	Figure-8	Ipsilesional M1	rTMS	3	120% RMT	300	3000 (10)	motor hotspot	—	10	Improved motor outcome vs sham in acute stroke	https://pubmed.ncbi.nlm.nih.gov/?term=Khedr%202005%20TMS
☺	Stroke – Motor	Contralesional LF		Fregni	USA / Brazil	2006	Stroke	1Hz rTMS of contralesional motor cortex improves hand function after stroke	RCT	Interhemispheric rebalancing	Figure-8	Contralesional M1	rTMS	1	100-110% RMT	1200	—	motor hotspot	~20 min	5-10	Improved paretic hand motor function	https://pubmed.ncbi.nlm.nih.gov/?term=Fregni%202006%20TMS
☹	Stroke – Motor	Multisite RCT (negative)		Harvey (NICHE)	USA	2018	Stroke	Contralesional 1Hz rTMS with rehabilitation for post-stroke motor recovery (NICHE): sham-controlled trial	RCT, n=199	Both real and sham groups improved	Figure-8	Contralesional M1	rTMS	1	110% RMT	—	—	navigation	—	18	No added benefit over intensive rehabilitation + sham	https://pubmed.ncbi.nlm.nih.gov/?term=Harvey%20NICHE%202018%20TMS
☺	Stroke – Aphasia	Contralesional LF		Naeser / Barwood	USA / Australia	2011	Brain Lang	1Hz rTMS of right pars triangularis improves naming in chronic non-fluent aphasia	RCT / series	Right IFG (Broca homologue) inhibition	Figure-8	Right IFG	rTMS	1	90% RMT	1200	—	navigation	~20 min	10	Improved naming and propositional speech	https://pubmed.ncbi.nlm.nih.gov/?term=Naeser%20%2F%20Barwood%202011%20TMS
☺ (modest)	Stroke – Neglect	Contralesional cTBS		Cazzoli	Switzerland	2012	Brain	Continuous theta-burst over contralesional posterior parietal cortex reduces hemispatial neglect	RCT	cTBS to rebalance attention	Figure-8	Contralesional PPC	cTBS	50	80-100% AMT	600 per train	—	navigation	—	multiple	Reduced neglect symptoms and improved ADL	https://pubmed.ncbi.nlm.nih.gov/?term=Cazzoli%202012%20TMS
☺	Stroke – Dysphagia	Pharyngeal M1 HF		Khedr	Egypt	2009	Acta Neurol Scand	rTMS for post-stroke dysphagia	RCT	HF affected-hemisphere swallowing cortex	Figure-8	Esophageal / pharyngeal M1	rTMS	3	120% RMT	300	1500 (5)	motor hotspot	—	5	Improved swallowing function vs sham	https://pubmed.ncbi.nlm.nih.gov/?term=Khedr%202009%20TMS
☺	Parkinson's disease	M1 / DLPFC meta-analysis		Chou	USA / Taiwan	2015	JAMA Neurol	Effects of rTMS on motor symptoms in Parkinson disease: systematic review and meta-analysis	Meta-analysis, 20 RCTs	HF-M1 beneficial for motor	Figure-8	M1 (bilateral) / DLPFC	rTMS	5-25	80-110% RMT	—	—	navigation	—	multiple	HF rTMS over M1 improved motor scores (UPDRS-III)	https://pubmed.ncbi.nlm.nih.gov/?term=Chou%202015%20TMS
☺ (modest)	Parkinson's – Depression	Left DLPFC		Pal	—	2010	Mov Disord	rTMS of the left DLPFC for depression in Parkinson disease	RCT	5Hz left DLPFC	Figure-8	Left DLPFC	rTMS	5	90% RMT	600	6000 (10)	5 cm	—	10	Improved mood in PD comparable to fluoxetine	https://pubmed.ncbi.nlm.nih.gov/?term=Pal%202010%20TMS
☺ (modest)	Tourette syndrome	SMA LF rTMS		Landeros-Weisenberger	USA	2015	Brain Stimul	Randomized sham-controlled trial of LF rTMS to the SMA for Tourette syndrome	RCT pilot	1Hz SMA	Figure-8	SMA	rTMS	1	110% RMT	1800	—	10-20 system	—	up to 30	Trend toward tic reduction; not statistically robust	https://pubmed.ncbi.nlm.nih.gov/?term=Landeros-Weisenberger%202015%20TMS
☺ (modest)	Tinnitus	LF auditory cortex		Folmer	USA (VA)	2015	JAMA Otolaryngol Head Neck Surg	Repetitive TMS treatment for chronic tinnitus: a randomized clinical trial	RCT, n=64	1Hz over auditory cortex	Figure-8	Left temporoparietal / auditory cortex	rTMS	1	110% RMT	2000	20,000 (10)	navigation	~30 min	10	Response ~56% vs 22% sham; durable in responders	https://pubmed.ncbi.nlm.nih.gov/?term=Folmer%202015%20TMS
☹ / unclear	Alzheimer's disease	rTMS + cognitive training		Sabbagh	USA / Israel	2020	Alzheimers Dement	neuroAD (rTMS + cognitive training) for mild-to-moderate AD: pivotal randomized trial	RCT, n=131	Rotating multi-site cortical targets	Figure-8 (navigated)	DLPFC, Broca, Wernicke, parietal (rotating)	rTMS	10	90-120% RMT	—	—	navigation	~1 hr	30	Did not meet primary endpoint overall; milder subgroup benefit	https://pubmed.ncbi.nlm.nih.gov/?term=Sabbagh%202020%20TMS
☺ (modest)	Cognition (healthy / MCI)	DLPFC meta		(meta-analysis)	—	2016	Neurosci Biobehav Rev	Effects of rTMS on working memory and executive function: meta-analysis	Meta-analysis	Small cognitive effects	Figure-8	DLPFC	rTMS	5-20	—	—	—	—	—	—	Small enhancement of executive function / working memory	https://pubmed.ncbi.nlm.nih.gov/?term=Effects%20of%20rTMS%20on%20working%20memory%202016
☺ (modest)	Bipolar depression	DLPFC rTMS		Tavares	Brazil	2017	Neuropsychopharmacology	rTMS for bipolar depression: randomized sham-controlled trial	RCT	Right LF or left HF DLPFC	Figure-8	DLPFC	rTMS	1-10	110-120% RMT	—	—	5 cm / navigation	—	20	Some antidepressant benefit; low switch risk	https://pubmed.ncbi.nlm.nih.gov/?term=Tavares%202017%20TMS
☺ (modest)	Eating disorders	Left DLPFC		Dalton	UK	2018	Eur Eat Disord Rev	rTMS of left DLPFC for severe enduring anorexia nervosa: feasibility RCT	RCT feasibility	HF left DLPFC	Figure-8	Left DLPFC	rTMS	10	110% RMT	1000	20,000 (20)	EEG 10-20	—	20	Reduced core AN symptoms in a subset; feasible	https://pubmed.ncbi.nlm.nih.gov/?term=Dalton%202018%20TMS
☺ (modest)	Autism spectrum	dmPFC deep rTMS		Enticott	Australia	2014	Brain Stimul	Double-blind sham-controlled trial of deep rTMS for autism spectrum disorder	RCT	dmPFC dTMS	H-coil	dmPFC	dTMS	5	100% RMT	1500	15,000 (10)	standard	—	10	Reduced social-relating difficulties vs sham	https://pubmed.ncbi.nlm.nih.gov/?term=Enticott%202014%20TMS
☺ (modest)	Disorders of consciousness	Precuneus / DLPFC		(systematic review)	—	2019	Brain Stimul	rTMS in disorders of consciousness: systematic review	Systematic review	Signs of arousal in minimally conscious state	Figure-8	DLPFC / precuneus	rTMS	10-20	90-100% RMT	—	—	navigation	—	variable	Transient CRS-R improvement in some minimally conscious patients	https://pubmed.ncbi.nlm.nih.gov/?term=rTMS%20in%20disorders%20of%20consciousness%3A%20systematic%202019
☺	Neurosurgery (mapping)	Motor / language mapping		Picht	Germany	2011	Neurosurgery	Preoperative functional mapping with navigated TMS compared with direct cortical stimulation	Validation study	Non-invasive presurgical mapping (nTMS)	Figure-8 (navigated)	M1 / language cortex	single-pulse nTMS	— (single)	supra-threshold	—	—	MRI neuronavigation	—	1 (mapping session)	nTMS motor maps concordant with intraoperative direct cortical stimulation	https://pubmed.ncbi.nlm.nih.gov/?term=Picht%202011%20TMS
⚔ ref	Methodology	Safety guidelines		Rossi	Intl consensus (IFCN)	2009	Clin Neurophysiol	Safety, ethical considerations, and application guidelines for the use of TMS in clinical practice and research	Consensus guideline	Foundational safety document	—	—	—	—	—	—	—	—	—	—	Seizure-risk parameters and dosing safety tables (widely adopted)	https://pubmed.ncbi.nlm.nih.gov/?term=Rossi%202009%20TMS
⚔ ref	Methodology	Safety update		Rossi	IFCN	2021	Clin Neurophysiol	Safety and recommendations for TMS use in healthy subjects and patient populations (updated guidelines)	Consensus guideline	2021 update incl. TBS & accelerated protocols	—	—	—	—	—	—	—	—	—	—	Updated safety tables incl. theta-burst, home and accelerated protocols	https://pubmed.ncbi.nlm.nih.gov/?term=Rossi%202021%20TMS
⚔ ref	Methodology	Efficacy guidelines		Lefaucheur	Europe (expert group)	2020	Clin Neurophysiol	Evidence-based guidelines on the therapeutic use of rTMS: an update (2014-2018)	Guideline / consensus	Grades recommendations by indication	—	—	rTMS / TBS / dTMS	—	—	—	—	—	—	—	Level A: HF-L-DLPFC (depression), HF-M1 (neuropathic pain)	https://pubmed.ncbi.nlm.nih.gov/?term=Lefaucheur%202020%20TMS
☺	Depression (MDD)	First controlled evidence		Pascual-Leone	USA / Spain	1996	Lancet	Rapid-rate TMS of left DLPFC in drug-resistant depression	RCT crossover, n=17	First controlled antidepressant signal	Figure-8	Left DLPFC	rTMS	10	90% MT	—	—	5 cm	—	5 (crossover)	Marked mood improvement vs sham; foundational study	https://pubmed.ncbi.nlm.nih.gov/?term=Pascual-Leone%201996%20TMS
☺	Depression (MDD)	Early daily-paradigm crossover		George	USA (NIH)	1997	Am J Psychiatry	Mood improvement following daily left prefrontal rTMS: placebo-controlled crossover	RCT crossover, n=12	Established daily L-DLPFC paradigm	Figure-8	Left DLPFC	rTMS	20	80% MT	800	—	5 cm	—	10 (crossover)	Modest but significant mood improvement vs sham	https://pubmed.ncbi.nlm.nih.gov/?term=George%201997%20TMS
☺	Depression (MDD)	LF right DLPFC		Klein	Israel	1999	Arch Gen Psychiatry	Therapeutic efficacy of 1Hz rTMS of right prefrontal cortex in major depression	RCT, n=70	Low-frequency right-sided alternative	Figure-8	Right DLPFC	rTMS	1	110% MT	120	—	5 cm	—	10	1Hz right DLPFC superior to sham	https://pubmed.ncbi.nlm.nih.gov/?term=Klein%201999%20TMS
☺ (modest)	Depression (MDD)	HF sham-controlled		Avery	USA	2006	Biol Psychiatry	A controlled study of repetitive TMS in medication-resistant major depression	RCT, n=68	10Hz L-DLPFC	Figure-8	Left DLPFC	rTMS	10	110% MT	1600	—	5 cm	—	15	Response 30.6% vs 6.1% sham	https://pubmed.ncbi.nlm.nih.gov/?term=Avery%202006%20TMS
☹	Depression (MDD)	Add-on negative trial		Herwig	Germany (multicenter)	2007	Br J Psychiatry	Add-on rTMS for the treatment of depression: a multicentre randomized controlled trial	RCT, n=127	rTMS added to newly started antidepressant	Figure-8	Left DLPFC	rTMS	10	110% MT	2000	—	5 cm / neuronavigation subset	—	15	No significant benefit over sham as add-on (valid negative)	https://pubmed.ncbi.nlm.nih.gov/?term=Herwig%202007%20TMS
☺	Depression (MDD)	Sequential bilateral		Fitzgerald	Australia	2003	Arch Gen Psychiatry	TMS in treatment-resistant depression (LF-right + HF-left sequential)	RCT	Bilateral sequential paradigm	Figure-8	Bilateral DLPFC	rTMS	1 (R) + 10 (L)	100-110% RMT	—	—	5 cm	—	up to 20	Bilateral sequential rTMS effective vs sham	https://pubmed.ncbi.nlm.nih.gov/?term=Fitzgerald%202003%20TMS
☺	Depression (MDD)	rTMS vs ECT meta-analysis		Berlim	Canada	2013	Psychol Med	HF-rTMS versus ECT for major depression: systematic review and meta-analysis of RCTs	Meta-analysis, 7 RCTs, n=294	Head-to-head comparison	—	Left DLPFC vs ECT	rTMS vs ECT	10	—	—	—	—	—	—	ECT more efficacious for remission; rTMS better tolerated	https://pubmed.ncbi.nlm.nih.gov/?term=Berlim%202013%20TMS
☺	Depression (MDD)	Network meta-analysis		Mutz	UK	2019	BMJ	Comparative efficacy and acceptability of non-surgical brain stimulation for depression: network meta-analysis	NMA, 113 RCTs	Ranks modalities	—	DLPFC / bitemporal	rTMS / TBS / tDCS / ECT	various	—	—	—	—	—	—	bitemporal ECT highest (OR 8.9); HF-L-rTMS OR 3.17 vs sham; iTBS effective	https://pubmed.ncbi.nlm.nih.gov/?term=Mutz%202019%20TMS
☺	Depression (MDD)	Accelerated iTBS		Blumberger (CARTBIND)	Canada	2021	Brain Stimul	Accelerated iTBS (3x/day) for treatment-resistant depression	RCT / feasibility	Accelerated, non-fMRI-guided	Figure-8	Left DLPFC	Accelerated iTBS	50	120% RMT	600 (x3/day)	—	MRI-navigation / F3	~9 min x3	multiple/day	Accelerated iTBS feasible; efficacy comparable to daily iTBS	https://pubmed.ncbi.nlm.nih.gov/?term=Blumberger%20CARTBIND%202021%20TMS
☺	Depression (MDD)	Adolescent RCT		Croarkin	USA (multisite)	2021	Neuropsychopharmacology	rTMS for adolescent treatment-resistant depression: randomized sham-controlled trial	RCT (adolescents)	Basis of FDA adolescent clearance (2024)	Figure-8	Left DLPFC	rTMS	10	120% RMT	3000	—	5 cm / MRI	~37 min	up to 30	Blinded phase modest; open-label robust; supports adolescent use	https://pubmed.ncbi.nlm.nih.gov/?term=Croarkin%202021%20TMS
☺	Depression (MDD)	Deep TMS late-life		Kaster	Canada	2018	Neuropsychopharmacology	Deep TMS for late-life treatment-resistant depression: randomized sham-controlled trial	RCT (elderly)	H1 coil in older adults	H1 deep coil	Bilateral PFC (L>R)	dTMS	18	120% RMT	1980	—	standard	~20 min	up to 30	Higher remission with active dTMS in older adults	https://pubmed.ncbi.nlm.nih.gov/?term=Kaster%202018%20TMS
☺ (modest)	Depression (MDD)	Small HF RCT		Berman	USA (Yale)	2000	Biol Psychiatry	A controlled trial of daily left prefrontal rTMS in depression	RCT, n=20	20Hz L-DLPFC	Figure-8	Left DLPFC	rTMS	20	80% MT	800	—	5 cm	—	10	Modest antidepressant effect vs sham	https://pubmed.ncbi.nlm.nih.gov/?term=Berman%202000%20TMS
☺	Depression (MDD)	Bilateral TBS RCT		Blumberger	Canada	2016	Am J Psychiatry	Bilateral theta-burst stimulation for treatment-resistant depression: randomized trial	RCT	cTBS right + iTBS left	Figure-8	Bilateral DLPFC	cTBS + iTBS	50	120% RMT	—	—	MRI-navigation	—	up to 30	Bilateral TBS reduced depression; supports TBS paradigms	https://pubmed.ncbi.nlm.nih.gov/?term=Blumberger%202016%20TMS
